SKU,Description,Unit,Pack Size,Trade Price,Supplier
PB125,12.5mm Plasterboard 2400x1200,Sheet,1,9.85,Your Merchant
PB95,9.5mm Plasterboard 2400x1200,Sheet,1,8.10,Your Merchant
PBMR,12.5mm Moisture Resistant Plasterboard 2400x1200,Sheet,1,14.20,Your Merchant
BAT25,Treated Roofing Batten 25x50 BS5534 graded,m,1,0.92,Your Merchant
BATUN,Untreated batten 25x50 ungraded,m,1,0.61,Your Merchant
MEM15,Breathable Roofing Membrane 1.5m x 50m,Roll,1,68.00,Your Merchant
MEMFELT,Bitumen Felt Underlay 1m x 10m,Roll,1,22.50,Your Merchant
TILINT,Concrete Interlocking Roof Tile,Each,1,1.32,Your Merchant
TILPLN,Concrete Plain Tile 265x165,Each,1,0.46,Your Merchant
SLTNAT,Natural Welsh Slate 500x250,Each,1,3.85,Your Merchant
PIR50,PIR Insulation Board 50mm 2400x1200,Sheet,1,28.40,Your Merchant
MW100,Mineral Wool Loft Roll 100mm,Roll,1,19.90,Your Merchant
C1647,C16 Sawn Carcassing 47x100,m,1,3.20,Your Merchant
C2447,C24 Sawn Carcassing 47x200,m,1,7.85,Your Merchant
BRKCOM,Common Brick 65mm,Each,1,0.42,Your Merchant
BRKFAC,Facing Brick 65mm,Each,1,0.68,Your Merchant
GUTDF,Deepflow Guttering 4m Black,m,1,4.20,Your Merchant
GUTHR,Half Round Guttering 4m White,m,1,3.10,Your Merchant
