sample_id,brand,panel,thickness_um,thickness_mils,oem_range_um,label
V0001-hood,Ferrari,hood,175.7,6.92,150-200,factory_normal
V0001-roof,Ferrari,roof,176.6,6.95,150-200,factory_normal
V0001-trunk,Ferrari,trunk,162.2,6.39,150-200,factory_normal
V0001-door_front_left,Ferrari,door_front_left,165.4,6.51,150-200,factory_normal
V0001-door_front_right,Ferrari,door_front_right,268.0,10.55,150-200,repair_or_filler
V0001-door_rear_left,Ferrari,door_rear_left,170.4,6.71,150-200,factory_normal
V0001-door_rear_right,Ferrari,door_rear_right,171.9,6.77,150-200,factory_normal
V0001-fender_left,Ferrari,fender_left,167.7,6.6,150-200,factory_normal
V0001-fender_right,Ferrari,fender_right,176.3,6.94,150-200,factory_normal
V0001-quarter_left,Ferrari,quarter_left,175.8,6.92,150-200,factory_normal
V0001-quarter_right,Ferrari,quarter_right,172.3,6.78,150-200,factory_normal
V0001-bumper_front,Ferrari,bumper_front,347.1,13.67,150-200,repair_or_filler
V0001-bumper_rear,Ferrari,bumper_rear,178.0,7.01,150-200,factory_normal
V0001-door_jamb_left,Ferrari,door_jamb_left,277.6,10.93,150-200,repair_or_filler
V0001-door_jamb_right,Ferrari,door_jamb_right,173.0,6.81,150-200,factory_normal
V0002-hood,Ferrari,hood,159.9,6.3,150-200,factory_normal
V0002-roof,Ferrari,roof,168.4,6.63,150-200,factory_normal
V0002-trunk,Ferrari,trunk,155.7,6.13,150-200,factory_normal
V0002-door_front_left,Ferrari,door_front_left,155.2,6.11,150-200,factory_normal
V0002-door_front_right,Ferrari,door_front_right,153.6,6.05,150-200,factory_normal
V0002-door_rear_left,Ferrari,door_rear_left,160.8,6.33,150-200,factory_normal
V0002-door_rear_right,Ferrari,door_rear_right,163.4,6.43,150-200,factory_normal
V0002-fender_left,Ferrari,fender_left,157.1,6.19,150-200,factory_normal
V0002-fender_right,Ferrari,fender_right,153.5,6.04,150-200,factory_normal
V0002-quarter_left,Ferrari,quarter_left,153.6,6.05,150-200,factory_normal
V0002-quarter_right,Ferrari,quarter_right,161.0,6.34,150-200,factory_normal
V0002-bumper_front,Ferrari,bumper_front,171.6,6.76,150-200,factory_normal
V0002-bumper_rear,Ferrari,bumper_rear,177.1,6.97,150-200,factory_normal
V0002-door_jamb_left,Ferrari,door_jamb_left,158.4,6.24,150-200,factory_normal
V0002-door_jamb_right,Ferrari,door_jamb_right,159.8,6.29,150-200,factory_normal
V0003-hood,Ferrari,hood,151.8,5.98,150-200,factory_normal
V0003-roof,Ferrari,roof,153.5,6.04,150-200,factory_normal
V0003-trunk,Ferrari,trunk,143.1,5.63,150-200,factory_normal
V0003-door_front_left,Ferrari,door_front_left,148.8,5.86,150-200,factory_normal
V0003-door_front_right,Ferrari,door_front_right,148.0,5.83,150-200,factory_normal
V0003-door_rear_left,Ferrari,door_rear_left,147.2,5.8,150-200,factory_normal
V0003-door_rear_right,Ferrari,door_rear_right,149.0,5.87,150-200,factory_normal
V0003-fender_left,Ferrari,fender_left,157.8,6.21,150-200,factory_normal
V0003-fender_right,Ferrari,fender_right,146.0,5.75,150-200,factory_normal
V0003-quarter_left,Ferrari,quarter_left,155.2,6.11,150-200,factory_normal
V0003-quarter_right,Ferrari,quarter_right,142.0,5.59,150-200,factory_normal
V0003-bumper_front,Ferrari,bumper_front,153.2,6.03,150-200,factory_normal
V0003-bumper_rear,Ferrari,bumper_rear,154.6,6.09,150-200,factory_normal
V0003-door_jamb_left,Ferrari,door_jamb_left,152.9,6.02,150-200,factory_normal
V0003-door_jamb_right,Ferrari,door_jamb_right,149.8,5.9,150-200,factory_normal
V0004-hood,Ferrari,hood,187.0,7.36,150-200,factory_normal
V0004-roof,Ferrari,roof,188.1,7.41,150-200,factory_normal
V0004-trunk,Ferrari,trunk,195.2,7.69,150-200,factory_normal
V0004-door_front_left,Ferrari,door_front_left,193.4,7.61,150-200,factory_normal
V0004-door_front_right,Ferrari,door_front_right,196.1,7.72,150-200,factory_normal
V0004-door_rear_left,Ferrari,door_rear_left,190.5,7.5,150-200,factory_normal
V0004-door_rear_right,Ferrari,door_rear_right,193.5,7.62,150-200,factory_normal
V0004-fender_left,Ferrari,fender_left,300.4,11.83,150-200,repair_or_filler
V0004-fender_right,Ferrari,fender_right,191.1,7.52,150-200,factory_normal
V0004-quarter_left,Ferrari,quarter_left,195.0,7.68,150-200,factory_normal
V0004-quarter_right,Ferrari,quarter_right,189.4,7.46,150-200,factory_normal
V0004-bumper_front,Ferrari,bumper_front,288.0,11.34,150-200,repair_or_filler
V0004-bumper_rear,Ferrari,bumper_rear,198.0,7.8,150-200,factory_normal
V0004-door_jamb_left,Ferrari,door_jamb_left,187.6,7.39,150-200,factory_normal
V0004-door_jamb_right,Ferrari,door_jamb_right,260.1,10.24,150-200,repair_or_filler
V0005-hood,Ferrari,hood,200.1,7.88,150-200,factory_normal
V0005-roof,Ferrari,roof,193.6,7.62,150-200,factory_normal
V0005-trunk,Ferrari,trunk,196.2,7.72,150-200,factory_normal
V0005-door_front_left,Ferrari,door_front_left,204.6,8.06,150-200,factory_normal
V0005-door_front_right,Ferrari,door_front_right,196.3,7.73,150-200,factory_normal
V0005-door_rear_left,Ferrari,door_rear_left,201.8,7.94,150-200,factory_normal
V0005-door_rear_right,Ferrari,door_rear_right,193.4,7.61,150-200,factory_normal
V0005-fender_left,Ferrari,fender_left,197.1,7.76,150-200,factory_normal
V0005-fender_right,Ferrari,fender_right,193.3,7.61,150-200,factory_normal
V0005-quarter_left,Ferrari,quarter_left,196.4,7.73,150-200,factory_normal
V0005-quarter_right,Ferrari,quarter_right,202.3,7.96,150-200,factory_normal
V0005-bumper_front,Ferrari,bumper_front,198.2,7.8,150-200,factory_normal
V0005-bumper_rear,Ferrari,bumper_rear,203.0,7.99,150-200,factory_normal
V0005-door_jamb_left,Ferrari,door_jamb_left,198.8,7.83,150-200,factory_normal
