make,model,year,expected_min_um,expected_max_um,expected_avg_um,expected_avg_mils,oem_range_mils
Toyota,Corolla,2015,100.0,112.0,106.0,4.17,3.9-4.4
Toyota,Corolla,2016,99.6,111.6,105.6,4.16,3.9-4.4
Toyota,Corolla,2017,99.2,111.2,105.2,4.14,3.9-4.4
Toyota,Corolla,2018,98.8,110.8,104.8,4.13,3.9-4.4
Toyota,Corolla,2019,98.4,110.4,104.4,4.11,3.9-4.3
Toyota,Corolla,2020,98.0,110.0,104.0,4.09,3.9-4.3
Toyota,Corolla,2021,97.6,109.6,103.6,4.08,3.8-4.3
Toyota,Corolla,2022,97.2,109.2,103.2,4.06,3.8-4.3
Toyota,Corolla,2023,96.8,108.8,102.8,4.05,3.8-4.3
Toyota,Corolla,2024,96.4,108.4,102.4,4.03,3.8-4.3
Toyota,Corolla,2025,96.0,108.0,102.0,4.02,3.8-4.3
Toyota,Corolla,2026,95.6,107.6,101.6,4.0,3.8-4.2
Toyota,Camry,2015,110.0,130.0,120.0,4.72,4.3-5.1
Toyota,Camry,2016,109.6,129.6,119.6,4.71,4.3-5.1
Toyota,Camry,2017,109.2,129.2,119.2,4.69,4.3-5.1
Toyota,Camry,2018,108.8,128.8,118.8,4.68,4.3-5.1
Toyota,Camry,2019,108.4,128.4,118.4,4.66,4.3-5.1
Toyota,Camry,2020,108.0,128.0,118.0,4.65,4.3-5.0
Toyota,Camry,2021,107.6,127.6,117.6,4.63,4.2-5.0
Toyota,Camry,2022,107.2,127.2,117.2,4.61,4.2-5.0
Toyota,Camry,2023,106.8,126.8,116.8,4.6,4.2-5.0
Toyota,Camry,2024,106.4,126.4,116.4,4.58,4.2-5.0
Toyota,Camry,2025,106.0,126.0,116.0,4.57,4.2-5.0
Toyota,Camry,2026,105.6,125.6,115.6,4.55,4.2-4.9
Toyota,RAV4,2015,80.0,95.0,87.5,3.44,3.1-3.7
Toyota,RAV4,2016,79.6,94.6,87.1,3.43,3.1-3.7
Toyota,RAV4,2017,79.2,94.2,86.7,3.41,3.1-3.7
Toyota,RAV4,2018,78.8,93.8,86.3,3.4,3.1-3.7
Toyota,RAV4,2019,78.4,93.4,85.9,3.38,3.1-3.7
Toyota,RAV4,2020,78.0,93.0,85.5,3.37,3.1-3.7
Toyota,RAV4,2021,77.6,92.6,85.1,3.35,3.1-3.6
Toyota,RAV4,2022,77.2,92.2,84.7,3.33,3.0-3.6
Toyota,RAV4,2023,76.8,91.8,84.3,3.32,3.0-3.6
Toyota,RAV4,2024,76.4,91.4,83.9,3.3,3.0-3.6
Toyota,RAV4,2025,76.0,91.0,83.5,3.29,3.0-3.6
Toyota,RAV4,2026,75.6,90.6,83.1,3.27,3.0-3.6
Toyota,Prius,2015,80.0,90.0,85.0,3.35,3.1-3.5
Toyota,Prius,2016,79.6,89.6,84.6,3.33,3.1-3.5
Toyota,Prius,2017,79.2,89.2,84.2,3.31,3.1-3.5
Toyota,Prius,2018,78.8,88.8,83.8,3.3,3.1-3.5
Toyota,Prius,2019,78.4,88.4,83.4,3.28,3.1-3.5
Toyota,Prius,2020,78.0,88.0,83.0,3.27,3.1-3.5
Toyota,Prius,2021,77.6,87.6,82.6,3.25,3.1-3.4
Toyota,Prius,2022,77.2,87.2,82.2,3.24,3.0-3.4
Toyota,Prius,2023,76.8,86.8,81.8,3.22,3.0-3.4
Toyota,Prius,2024,76.4,86.4,81.4,3.2,3.0-3.4
Toyota,Prius,2025,76.0,86.0,81.0,3.19,3.0-3.4
Toyota,Prius,2026,75.6,85.6,80.6,3.17,3.0-3.4
Toyota,Highlander,2015,80.0,120.0,100.0,3.94,3.1-4.7
Toyota,Highlander,2016,79.6,119.6,99.6,3.92,3.1-4.7
Toyota,Highlander,2017,79.2,119.2,99.2,3.91,3.1-4.7
Toyota,Highlander,2018,78.8,118.8,98.8,3.89,3.1-4.7
Toyota,Highlander,2019,78.4,118.4,98.4,3.87,3.1-4.7
Toyota,Highlander,2020,78.0,118.0,98.0,3.86,3.1-4.6
Toyota,Highlander,2021,77.6,117.6,97.6,3.84,3.1-4.6
Toyota,Highlander,2022,77.2,117.2,97.2,3.83,3.0-4.6
Toyota,Highlander,2023,76.8,116.8,96.8,3.81,3.0-4.6
Toyota,Highlander,2024,76.4,116.4,96.4,3.8,3.0-4.6
Toyota,Highlander,2025,76.0,116.0,96.0,3.78,3.0-4.6
Toyota,Highlander,2026,75.6,115.6,95.6,3.76,3.0-4.6
Toyota,Land Cruiser,2015,110.0,130.0,120.0,4.72,4.3-5.1
Toyota,Land Cruiser,2016,109.6,129.6,119.6,4.71,4.3-5.1
Toyota,Land Cruiser,2017,109.2,129.2,119.2,4.69,4.3-5.1
Toyota,Land Cruiser,2018,108.8,128.8,118.8,4.68,4.3-5.1
Toyota,Land Cruiser,2019,108.4,128.4,118.4,4.66,4.3-5.1
Toyota,Land Cruiser,2020,108.0,128.0,118.0,4.65,4.3-5.0
Toyota,Land Cruiser,2021,107.6,127.6,117.6,4.63,4.2-5.0
Toyota,Land Cruiser,2022,107.2,127.2,117.2,4.61,4.2-5.0
Toyota,Land Cruiser,2023,106.8,126.8,116.8,4.6,4.2-5.0
Toyota,Land Cruiser,2024,106.4,126.4,116.4,4.58,4.2-5.0
Toyota,Land Cruiser,2025,106.0,126.0,116.0,4.57,4.2-5.0
Toyota,Land Cruiser,2026,105.6,125.6,115.6,4.55,4.2-4.9
Toyota,Tacoma,2015,90.0,115.0,102.5,4.04,3.5-4.5
Toyota,Tacoma,2016,89.6,114.6,102.1,4.02,3.5-4.5
