no,file,uid,title,make,model,year,trim,license,creator,source_url,size_mb,file_type
1,09ebc68dcb634807a9dace7404ce5e66__Ford_Bronco.glb,09ebc68dcb634807a9dace7404ce5e66,Ford Bronco,Ford,,,,CC Attribution,CasacadeOperations,https://sketchfab.com/3d-models/none-09ebc68dcb634807a9dace7404ce5e66,14.9,glb
2,0fed0c172d784be19988e3fcefd948ae__2021_Skoda_Octavia_Pro.glb,0fed0c172d784be19988e3fcefd948ae,2021 Skoda Octavia Pro,Skoda,Octavia,2021,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-0fed0c172d784be19988e3fcefd948ae,11.2,glb
3,10a95624ce5046f5805bd9d17256e033__BMW_M5_E34.glb,10a95624ce5046f5805bd9d17256e033,BMW M5 E34,BMW,5 Series,,,CC Attribution-NonCommercial,temich_,https://sketchfab.com/3d-models/none-10a95624ce5046f5805bd9d17256e033,25.4,glb
4,119c5e10733142b197aa53b86f6aeb04__Mercedes_E_Class_W212.glb,119c5e10733142b197aa53b86f6aeb04,Mercedes E Class W212,Mercedes,E Class,,,CC Attribution,better_peter,https://sketchfab.com/3d-models/none-119c5e10733142b197aa53b86f6aeb04,37.3,glb
5,148e5d74c60345aa81f26a119819ef4b__Fiat_500__Personal_Work.glb,148e5d74c60345aa81f26a119819ef4b,Fiat 500  Personal Work,Fiat,500,,,CC Attribution,mk2design,https://sketchfab.com/3d-models/none-148e5d74c60345aa81f26a119819ef4b,75.3,glb
6,170df9c498a84dcea040985871ee4e67__65_Chevy_Malibu.glb,170df9c498a84dcea040985871ee4e67,65 Chevy Malibu,Chevrolet,Malibu,,,CC Attribution,joko_p,https://sketchfab.com/3d-models/none-170df9c498a84dcea040985871ee4e67,10.0,glb
7,192f7e81dce84c6780434f692a0f96c5__Jeep_Renegade_2016.glb,192f7e81dce84c6780434f692a0f96c5,Jeep Renegade 2016,Jeep,,2016,,CC Attribution,pinceladas3d,https://sketchfab.com/3d-models/none-192f7e81dce84c6780434f692a0f96c5,0.4,glb
8,1a2a52b16cad4e618af347461817895c__Mercedes_Benz_G-class_W263.glb,1a2a52b16cad4e618af347461817895c,Mercedes Benz G-class W263,Mercedes,,,,CC Attribution,Lexyc16,https://sketchfab.com/3d-models/none-1a2a52b16cad4e618af347461817895c,0.6,glb
9,1baa016f2c814cd7ace8ea86a927fa4a__1987_BMW_E34_LP.glb,1baa016f2c814cd7ace8ea86a927fa4a,1987 BMW E34 LP,BMW,5 Series,1987,,Free Standard,KrStolorz,https://sketchfab.com/3d-models/none-1baa016f2c814cd7ace8ea86a927fa4a,1.9,glb
10,1fb8f26b105445fbaa98ca2577f7067e__1992_Volkswagen_Golf_GTI_Mk2.glb,1fb8f26b105445fbaa98ca2577f7067e,1992 Volkswagen Golf GTI Mk2,Volkswagen,Golf,1992,GTI,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-1fb8f26b105445fbaa98ca2577f7067e,2.5,glb
11,1fc46cb37bd748e3bb9355fcedaf3817__1976_Volkswagen_Golf_GTI_Mk1.glb,1fc46cb37bd748e3bb9355fcedaf3817,1976 Volkswagen Golf GTI Mk1,Volkswagen,Golf,,GTI,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-1fc46cb37bd748e3bb9355fcedaf3817,3.8,glb
12,213cd126fcd744809fb7996eb88366f5__Fiat_500_-_1970_Model.glb,213cd126fcd744809fb7996eb88366f5,Fiat 500 - 1970 Model,Fiat,500,,,CC Attribution,parsafarvadian,https://sketchfab.com/3d-models/none-213cd126fcd744809fb7996eb88366f5,14.8,glb
13,2193b76ebc66474a8dac01242014c911__1974_Volkswagen_Golf_Mk1_LP.glb,2193b76ebc66474a8dac01242014c911,1974 Volkswagen Golf Mk1 LP,Volkswagen,Golf,,,Free Standard,KrStolorz,https://sketchfab.com/3d-models/none-2193b76ebc66474a8dac01242014c911,9.4,glb
14,277e2569280d4c9fa3bc3a85bbc627f1__2002_Mazda_RX-7_Spirit-R.glb,277e2569280d4c9fa3bc3a85bbc627f1,2002 Mazda RX-7 Spirit-R,Mazda,2,2002,,CC Attribution-NonCommercial-ShareAlike,outpiston,https://sketchfab.com/3d-models/none-277e2569280d4c9fa3bc3a85bbc627f1,2.6,glb
15,2935f8faa5f64ce4a3bd65af0f925c21__Low_Poly_Car_-_Cadillac_75_Sedan_1953.glb,2935f8faa5f64ce4a3bd65af0f925c21,Low Poly Car - Cadillac 75 Sedan 1953,Cadillac,,,,CC Attribution,roh3d,https://sketchfab.com/3d-models/none-2935f8faa5f64ce4a3bd65af0f925c21,3.6,glb
16,2c8aadc8d0ea4ec180f758cd1361254b__2023_Lexus_GX_550_h_Overtrail.glb,2c8aadc8d0ea4ec180f758cd1361254b,2023 Lexus GX 550 h Overtrail,Lexus,,2023,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-2c8aadc8d0ea4ec180f758cd1361254b,22.0,glb
17,2cb59dfa2f104d1385b184916a93ad6c__1990_Mercedes-Benz_190E_25-16_Evolution_II.glb,2cb59dfa2f104d1385b184916a93ad6c,1990 Mercedes-Benz 190E 25-16 Evolution II,Mercedes,A Class,1990,,CC Attribution-NonCommercial-ShareAlike,outpiston,https://sketchfab.com/3d-models/none-2cb59dfa2f104d1385b184916a93ad6c,3.3,glb
18,2e82d2aaaa3d47debf39b1160d3fe376__2024_BYD_Seal.glb,2e82d2aaaa3d47debf39b1160d3fe376,2024 BYD Seal,,,2024,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-2e82d2aaaa3d47debf39b1160d3fe376,20.4,glb
19,34c4687ba8204efaa7551afea9f5689f__Mersedes-_Benz_Maybach_GLS_600.glb,34c4687ba8204efaa7551afea9f5689f,Mersedes- Benz Maybach GLS 600,,,,,CC Attribution,BlackSnow02,https://sketchfab.com/3d-models/none-34c4687ba8204efaa7551afea9f5689f,32.6,glb
20,390897ff7fe9449aa77a2d640e2caff9__2002_Mitsubishi_Lancer_Evolution_VII_DAMD_-_2F2F.glb,390897ff7fe9449aa77a2d640e2caff9,2002 Mitsubishi Lancer Evolution VII DAMD - 2F2F,Mitsubishi,Lancer,2002,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-390897ff7fe9449aa77a2d640e2caff9,14.0,glb
21,3d4a1578573645de9a2915e93b7edcf7__Nouvelle_Peugeot_208_-_lowpoly.glb,3d4a1578573645de9a2915e93b7edcf7,Nouvelle Peugeot 208 - lowpoly,Peugeot,208,,,CC Attribution,grunystudio,https://sketchfab.com/3d-models/none-3d4a1578573645de9a2915e93b7edcf7,1.1,glb
22,3fa89e6bf78b49aab111af4195efb6fe__Low_Poly_Car_-_Chrysler_Saratoga_1960.glb,3fa89e6bf78b49aab111af4195efb6fe,Low Poly Car - Chrysler Saratoga 1960,Chrysler,,,,CC Attribution,roh3d,https://sketchfab.com/3d-models/none-3fa89e6bf78b49aab111af4195efb6fe,3.7,glb
23,4411a6bd5706470889e3ee511dd0b039__Subaru_Impreza.glb,4411a6bd5706470889e3ee511dd0b039,Subaru Impreza,Subaru,Impreza,,,Free Standard,Namahoi,https://sketchfab.com/3d-models/none-4411a6bd5706470889e3ee511dd0b039,0.3,glb
24,44bdb8317f0840b3bc858e606f86db6b__1989_Chevrolet_Suburban.glb,44bdb8317f0840b3bc858e606f86db6b,1989 Chevrolet Suburban,Chevrolet,,1989,,CC Attribution,throwbackthursdaymodels,https://sketchfab.com/3d-models/none-44bdb8317f0840b3bc858e606f86db6b,10.2,glb
25,478330312c3d46fd94999c3133ce0366__BMW_3_Series_touring_E46_2001.glb,478330312c3d46fd94999c3133ce0366,BMW 3 Series touring E46 2001,BMW,3 Series,2001,,CC Attribution,speedmodel,https://sketchfab.com/3d-models/none-478330312c3d46fd94999c3133ce0366,38.2,glb
26,492301d401ea4fb7bb1cb63e980051d0__2016_Volkswagen_Golf_GTI_Clubsport_Mk7.glb,492301d401ea4fb7bb1cb63e980051d0,2016 Volkswagen Golf GTI Clubsport Mk7,Volkswagen,Golf,2016,GTI,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-492301d401ea4fb7bb1cb63e980051d0,7.3,glb
27,4a590f4afa094fa8b407a14db77a63a8__Rolls-Royce_Ghost.glb,4a590f4afa094fa8b407a14db77a63a8,Rolls-Royce Ghost,,,,,CC Attribution,BlackSnow02,https://sketchfab.com/3d-models/none-4a590f4afa094fa8b407a14db77a63a8,37.4,glb
28,4ba1b1b0eb844e318cc708ada1f2f51f__2024_Hyundai_Elantra_N.glb,4ba1b1b0eb844e318cc708ada1f2f51f,2024 Hyundai Elantra N,Hyundai,Elantra,2024,,CC Attribution-NonCommercial,ddiaz-design,https://sketchfab.com/3d-models/none-4ba1b1b0eb844e318cc708ada1f2f51f,15.4,glb
29,4f7c7318a29d4e16a6047c2d58bba28d__Peugeot_3008.glb,4f7c7318a29d4e16a6047c2d58bba28d,Peugeot 3008,Peugeot,308,,,CC Attribution-NonCommercial,OneSteven,https://sketchfab.com/3d-models/none-4f7c7318a29d4e16a6047c2d58bba28d,6.0,glb
30,53c739ff5512413e8d6c373c65b95047__2021_Mercedes-Benz_S-Class_Maybach.glb,53c739ff5512413e8d6c373c65b95047,2021 Mercedes-Benz S-Class Maybach,Mercedes,C Class,2021,,CC Attribution-NonCommercial,ddiaz-design,https://sketchfab.com/3d-models/none-53c739ff5512413e8d6c373c65b95047,18.1,glb
31,562bf516e1494df38d8f222504dc798b__Gerald_R_Ford_aircraft_Carrier.glb,562bf516e1494df38d8f222504dc798b,Gerald R Ford aircraft Carrier,Ford,Explorer,,,CC Attribution,waelXcm,https://sketchfab.com/3d-models/none-562bf516e1494df38d8f222504dc798b,24.9,glb
32,56c780a9e82b4c739517a13b98a8e77a__Mitsubishi_Starion_GSR-VR.glb,56c780a9e82b4c739517a13b98a8e77a,Mitsubishi Starion GSR-VR,Mitsubishi,,,,CC Attribution,dsm350,https://sketchfab.com/3d-models/none-56c780a9e82b4c739517a13b98a8e77a,3.9,glb
33,5c22c249418943fa866cc64de106ea2f__2001__BMW_M3_GTR_E46.glb,5c22c249418943fa866cc64de106ea2f,2001  BMW M3 GTR E46,BMW,5 Series,2001,,CC Attribution,sohyalebret,https://sketchfab.com/3d-models/none-5c22c249418943fa866cc64de106ea2f,6.1,glb
