uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
7674a3bd168a451daf73fc0a33d39589,4011dfd49efe2735387b66d131975488b936a4f241c1bbfb621a685ec8fa16f7,Hyundai,Tucson,2026-07-31,2015,,suv,
492301d401ea4fb7bb1cb63e980051d0,e4876c093ed6b6e59b7985bf9edf8b056b6219238337dceb22c81b6e1b4ec17d,Volkswagen,Golf,2026-07-31,2016,,hatchback,GTI Clubsport
da7dc289aeee4c8590762a1218b1bc6d,48c6e7c846d926204c17518f63d88f067f4e6485a2be3f4c4610b80a5a986955,Mercedes-Benz,E-Class,2026-07-31,2018,,estate,E63 AMG S
0fed0c172d784be19988e3fcefd948ae,ab1f04d4632b38a53d22fd5c42bdf44187a4a9c8351a6ce9b2ac14d2f45c88b5,Skoda,Octavia,2026-07-31,2021,,saloon,Pro
f540fdbc0d93435d96ef354f01720dc0,618ba23e6bacdac22b5d8e579a0ff08d6e76e55a7e672214cb9b21297e1a4b2e,BMW,M3,2026-07-31,2023,,estate,Touring
8c9484184a2b4254aafd67418b8c18db,5ebf9080a1823c57538c376a1f57258d01cacc5667cdc51fa3b3bc5f05a4d3f1,Honda,Civic,2026-07-31,2023,,hatchback,Type R
2e82d2aaaa3d47debf39b1160d3fe376,555f9e15c589ca1c8d4e8158bf5fabe35f8bbabc2566848ccb047dc77981f97f,BYD,Seal,2026-07-31,2024,,saloon,
9012258c3f4440919919cb23442ad507,328ffda6d080a9ae30b457eccf9b0c98ec88b538f542eaba0fc4fa5f998b697d,Volkswagen,Golf,2026-07-31,2025,,hatchback,R Black Edition
8e87379f40fd40dcac0a751e22c1a188,11fca903d776aaf4a8042447c6a52ae48f16ac8bd37242c89c7a1d52e424c35e,BMW,M4,2026-07-31,,,coupe,
e4087350c4d84d8391de09b405c96488,9837df4e2a9b24c150872e93297abcf0dc3bb5225f99b4a933dd76105f985101,Jeep,Compass,2026-07-31,2022,,suv,
192f7e81dce84c6780434f692a0f96c5,d5b6a41b4775172f339a1cd355702bc9338c9c5e779d9d502f34afda4ee8b6de,Jeep,Renegade,2026-07-31,2016,,suv,
119c5e10733142b197aa53b86f6aeb04,8ed00a65ea18726c512ab2b24c9149fb497bc8ff176f418a341c1d7f1b2fad0e,Mercedes-Benz,E-Class,2026-07-31,,,saloon,
9482f251f9c34a6e91d7777db5934cfc,558b20de3ce912875bebc6162f9dd9b7bec4174e565b7d0357a5aa2d351123a8,Mercedes-Benz,A-Class,2026-07-31,2018,,hatchback,A45 AMG
d76ad5a0495443eda24a9052565ef9a8,0a5c2b712421f0402c9558a57d03be0c351cae685e98bb4581a63828d95e7eab,Vauxhall,Astra,2026-07-31,2012,,hatchback,GTC
4f7c7318a29d4e16a6047c2d58bba28d,3f228979b7db174dad035757407e0c033a57772cf3cd34afcd9a504fcf08e8ef,Peugeot,3008,2026-07-31,,,suv,
