uid,licence,title,page,author
7674a3bd168a451daf73fc0a33d39589,CC Attribution,2015 Hyundai Tucson,https://sketchfab.com/3d-models/2015-hyundai-tucson-7674a3bd168a451daf73fc0a33d39589,razor24
492301d401ea4fb7bb1cb63e980051d0,CC Attribution-NonCommercial-ShareAlike,2016 Volkswagen Golf GTI Clubsport Mk7,https://sketchfab.com/3d-models/2016-volkswagen-golf-gti-clubsport-mk7-492301d401ea4fb7bb1cb63e980051d0,Ddiaz Design
da7dc289aeee4c8590762a1218b1bc6d,CC Attribution,2018 Mercedes Benz E63 AMG S Wagon,https://sketchfab.com/3d-models/2018-mercedes-benz-e63-amg-s-wagon-da7dc289aeee4c8590762a1218b1bc6d,SINNIK
0fed0c172d784be19988e3fcefd948ae,CC Attribution-NonCommercial-ShareAlike,2021 Skoda Octavia Pro,https://sketchfab.com/3d-models/2021-skoda-octavia-pro-0fed0c172d784be19988e3fcefd948ae,Ddiaz Design
f540fdbc0d93435d96ef354f01720dc0,CC Attribution-NonCommercial-ShareAlike,2023 BMW M3 Touring,https://sketchfab.com/3d-models/2023-bmw-m3-touring-f540fdbc0d93435d96ef354f01720dc0,Ddiaz Design
8c9484184a2b4254aafd67418b8c18db,CC Attribution-NonCommercial-ShareAlike,2023 Honda Civic Type R,https://sketchfab.com/3d-models/2023-honda-civic-type-r-8c9484184a2b4254aafd67418b8c18db,Ddiaz Design
2e82d2aaaa3d47debf39b1160d3fe376,CC Attribution-NonCommercial-ShareAlike,2024 BYD Seal,https://sketchfab.com/3d-models/2024-byd-seal-2e82d2aaaa3d47debf39b1160d3fe376,Ddiaz Design
9012258c3f4440919919cb23442ad507,CC Attribution-NonCommercial-ShareAlike,2025 Volkswagen Golf R Black Edition,https://sketchfab.com/3d-models/2025-volkswagen-golf-r-black-edition-9012258c3f4440919919cb23442ad507,Ddiaz Design
8e87379f40fd40dcac0a751e22c1a188,CC Attribution,BMW M4 f82,https://sketchfab.com/3d-models/bmw-m4-f82-8e87379f40fd40dcac0a751e22c1a188,Black Snow
e4087350c4d84d8391de09b405c96488,CC Attribution,Jeep Compass 2022 Lowpoly,https://sketchfab.com/3d-models/jeep-compass-2022-lowpoly-e4087350c4d84d8391de09b405c96488,Davidson
192f7e81dce84c6780434f692a0f96c5,CC Attribution,Jeep Renegade 2016,https://sketchfab.com/3d-models/jeep-renegade-2016-192f7e81dce84c6780434f692a0f96c5,Jose Bronze
119c5e10733142b197aa53b86f6aeb04,CC Attribution,Mercedes E Class W212,https://sketchfab.com/3d-models/mercedes-e-class-w212-119c5e10733142b197aa53b86f6aeb04,Peter_D
9482f251f9c34a6e91d7777db5934cfc,CC Attribution-NonCommercial,Mercedes-Benz A45 AMG 2018,https://sketchfab.com/3d-models/mercedes-benz-a45-amg-2018-9482f251f9c34a6e91d7777db5934cfc,Lexyc16
d76ad5a0495443eda24a9052565ef9a8,CC Attribution,OPEL Astra GTC 2012,https://sketchfab.com/3d-models/opel-astra-gtc-2012-d76ad5a0495443eda24a9052565ef9a8,Comrade1280
4f7c7318a29d4e16a6047c2d58bba28d,CC Attribution-NonCommercial,Peugeot 3008,https://sketchfab.com/3d-models/peugeot-3008-4f7c7318a29d4e16a6047c2d58bba28d,iSteven
