uid,strict_status,priority,make,model_as_supplied,asset_title,year_evidence,generation_evidence,visual_trim_evidence,body_style_evidence,faces,likes,metadata_score,duplicate_count,duplicate_rank,creator,licence_recorded,licence_status,commercial_gate,source_page,download_api_endpoint,source_origin,source_uid_valid,visual_qc,glass_qc,interior_qc,pbr_qc,scale_qc,live_link_check,final_publish,decision_reason
0833aae2ce314e20b2249a3396f32d46,PRIORITY B,Manual metadata/visual review,BMW,BMW 520i,BMW 520i E39 Touring,,E39,,Estate,1092317,15,78,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/0833aae2ce314e20b2249a3396f32d46,https://sketchfab.com/models/0833aae2ce314e20b2249a3396f32d46/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
c6576be338114eb9a8caf225186c2505,PRIORITY B,Manual metadata/visual review,Citroen,Citroen C2,Citroen C2,,,,Hatchback/Car,1010599,12,78,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/c6576be338114eb9a8caf225186c2505,https://sketchfab.com/models/c6576be338114eb9a8caf225186c2505/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
38887c2e43294e34a2e032af23a64a80,PRIORITY B,Manual metadata/visual review,Fiat,Fiat Panda,Fiat Panda Car,,,,Hatchback/Car,660093,24,79,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/38887c2e43294e34a2e032af23a64a80,https://sketchfab.com/models/38887c2e43294e34a2e032af23a64a80/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
d038275c361c4c939c826b033f3f04c5,PRIORITY B,Manual metadata/visual review,Fiat,Fiat Panda,Fiat Panda,,,,Hatchback/Car,1307542,16,78,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/d038275c361c4c939c826b033f3f04c5,https://sketchfab.com/models/d038275c361c4c939c826b033f3f04c5/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
0756a0766fdc4ff0b3bc5b3f5285fbed,PRIORITY B,Manual metadata/visual review,Fiat,Fiat Panda,Fiat Panda,,,,Hatchback/Car,1160290,8,77,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/0756a0766fdc4ff0b3bc5b3f5285fbed,https://sketchfab.com/models/0756a0766fdc4ff0b3bc5b3f5285fbed/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
a5d33c632d664174922adaebb8d7940c,PRIORITY B,Manual metadata/visual review,Fiat,Fiat Panda,FIAT panda en cours,,,,Hatchback/Car,350010,22,69,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/a5d33c632d664174922adaebb8d7940c,https://sketchfab.com/models/a5d33c632d664174922adaebb8d7940c/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
9b95c482bd6a4bbd8a5d1a64002af0f8,PRIORITY B,Manual metadata/visual review,Fiat,Fiat Panda,Fiat Panda II 2003-2012,2003–2012,,,Hatchback/Car,1307742,3,76,1,1,,,Pending live-page verification,NOT VERIFIED — do not publish commercially until the live licence is checked,https://sketchfab.com/3d-models/9b95c482bd6a4bbd8a5d1a64002af0f8,https://sketchfab.com/models/9b95c482bd6a4bbd8a5d1a64002af0f8/download,Original V3,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
3412188f796f46bc8db90b5e59827548,PRIORITY B,Manual metadata/visual review,Ford,Ford Kuga,Ford Kuga,,,,Hatchback/Car,302600,1,69,1,1,MattDoesBlender,CC BY,Web-verified CC BY,CC BY recorded at collection time — recheck live page and preserve attribution,https://sketchfab.com/3d-models/3412188f796f46bc8db90b5e59827548,https://sketchfab.com/models/3412188f796f46bc8db90b5e59827548/download,New scrape — 29 Jul 2026,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
af11acd6199b4f70b801ffd248d7efe6,PRIORITY B,Manual metadata/visual review,Ford,Ford Kuga,Ford Kuga 2010,2010,,,Hatchback/Car,150000,4,67,1,1,CB1IFA,CC BY,Web-verified CC BY,CC BY recorded at collection time — recheck live page and preserve attribution,https://sketchfab.com/3d-models/af11acd6199b4f70b801ffd248d7efe6,https://sketchfab.com/models/af11acd6199b4f70b801ffd248d7efe6/download,New scrape — 29 Jul 2026,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
d9d718ea72d94afd8ea65073c719885d,PRIORITY B,Manual metadata/visual review,Ford,Ford Puma,Ford Puma 1997-2002,1997–2002,,,Hatchback/Car,296700,3,71,1,1,Merc_TV,CC BY,Web-verified CC BY,CC BY recorded at collection time — recheck live page and preserve attribution,https://sketchfab.com/3d-models/d9d718ea72d94afd8ea65073c719885d,https://sketchfab.com/models/d9d718ea72d94afd8ea65073c719885d/download,New scrape — 29 Jul 2026,YES,Pending,Pending,Pending,Pending,Pending,Pending,HOLD,Real source-linked everyday-car candidate; licence and visual GLB checks are still required.
