uid,glb_sha256,make,model,reviewed_at,year_start,body_style
b0e11e993b834a65a6a673033cea91a3,e3fe4067a2e917085d4e53b4f9423f310eaf36ba8421ed6606e48a8d855a51b5,bmw,m3 e92,2026-08-06,,coupe
75147446ebaa49a6b10d7d51139c23a6,1eea7325f6e7f64e5e1044f9b8eb577890aa19ee86add76036b810c29c0c507e,bmw,m440i,2026-08-06,2021,convertible
93fce305fc644254a20f01fda89abe97,6223043d7a0e9bc457945f3e2fa9e0e1b1f23b2a8af6a9bc9214c0acfd967133,bmw,3 series touring,2026-08-06,,estate
a65d9f1c5fb64e289c8a0dfebd79ebc7,045d9845873fd09014c54c2376f131375d18b77ae51252e1745ad03fd3a91212,bmw,m1,2026-08-06,,coupe
ad59e622808642ad9bc399b12364e405,3f777035df72ea095fe57fc7935d99a44603af57088333363381f9421c800f99,bmw,i8 roadster,2026-08-06,2019,convertible
7e7626fd8dd34e4b8f0a5b21eb0a1fb0,03626c38107a97e898961a8d1aca5e527a0ab147bd60843cd6d7a6fa0137dd29,bmw,728i e23,2026-08-06,1982,saloon
f787107eedda4434ac3880fbd1cbb079,07ed8f556b947bb98785aa498ec9162c2fcc34d7512a1236bfca744f29cacc79,bmw,m4 competition,2026-08-06,2021,coupe
f4a831ecb5c1492c8fef8030d913aaa8,fe90e896e18f036ae2683d4242d1a554442f36429c19e2da81050b7204158092,bmw,850csi e31,2026-08-06,1996,coupe
beb2400a3bc54cd2b446a6819efeb47b,cc07b145381a8d5e7ad176b690e8a493f166fd97280b2caa9b0e4c7e0e7e03e5,bmw,z8,2026-08-06,2000,convertible
7e5665c023c24938bc06c2872ea30cc1,c3b63b528824b9aefdbc8aa6b78a000e958fba06a149a26854d1a7825ef93dc1,bmw,x6 m,2026-08-06,2022,suv
18a952b3599f4f81ade570eb0ceccdf4,81e32a26567eb2c91f7c167ebe533b90cca0f2d840ceec3f276f73171bc2a095,bmw,ix3,2026-08-06,2021,suv
0c36e0fa738a427e937e52d614b66d21,d17f7954966b8b987dcee2e06c90bcda2d43b7fc1fb36e482b8fc80be738c100,bmw,x7 m60i,2026-08-06,,suv
a41efb9c01e64d9d81a7896d2bbbb167,073cc67587580e73294710345e8ff0fa26e8d4be862987401d8b1ce9d3d31444,bmw,m440i gran coupe,2026-08-06,2022,hatchback
