uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style
7aa3ddcdff9f40fea35331255062038d,97c2d1fe11d808c3aedad345cc5b7509226ff4b3a2e682b572540214ca48a510,bmw,318ti,2026-08-07,,,hatchback
79fb934cd6a54b74a46ac83ec5967fc2,c6f29d51136b9a6cb23c1ad1167ac5eb721aa094eaf8cacf6472108801d898bc,bmw,i8,2026-08-07,,,coupe
8a3a63aac6fc4ce3a1bceab3191337ef,caed16d8a8be97f52a81c25442393310058ca0c9a16194c7dc22113b2cd454e2,bmw,m2,2026-08-07,2023,,coupe
9b211d525797457e988c903f67d0b753,03f61906bc193523a76c58ad2fee031a94337069d7ae21018fd69d651f3fcd2a,bmw,x5 m,2026-08-07,2020,,suv
5abbc3bb38044837852393ede3f0636f,10ee09588d9cc606ac0a2cd17c01ada182d637595516f8244f0589c09f273065,bmw,m235i,2026-08-07,2014,2021,coupe
12c31c4e2a0e4c3ea5d29f2994a85b16,2e7c5fa308b9d109d483d2cd229264e508683569c26eca20a9ef4db9102e0ce5,bmw,isetta,2026-08-07,1956,,
9cba50132a864bd79bfab48bd631574d,f43eea9418ca6239af0f4ae7c4e0557f48a6bcd8577d4225d45e1ad8115e4c4b,bmw,x6 m,2026-08-07,2015,2019,suv
2a9a46b0d2a34dd4947be27ce6c98d3d,f7efe07da9ae76c754e4ae4467fee53119fd829752f96de17ea3522611eaeafa,bmw,m5,2026-08-07,2025,,estate
e5454f274c4f44fa84e274c2583d7f5c,d24f2cb414813d1a14e4d619fa492aa00490c9f7144544125b530a1a2eacf786,bmw,i7,2026-08-07,2023,,saloon
14821cec9c49431db0ae17d24f8a1fea,717dae759ceb43361614857109d9e819da9a1c5cac13b482068a500411f611b7,bmw,5 series,2026-08-07,1988,1996,saloon
