uid,licence,source_title,source_creator,source_url
b0e11e993b834a65a6a673033cea91a3,CC Attribution,BMW M3 2007 (High Quality),Mpgs.studio3DModels,https://sketchfab.com/3d-models/b0e11e993b834a65a6a673033cea91a3
75147446ebaa49a6b10d7d51139c23a6,CC Attribution,BMW M440i Convertible 2021,Nieve5677,https://sketchfab.com/3d-models/75147446ebaa49a6b10d7d51139c23a6
93fce305fc644254a20f01fda89abe97,CC Attribution,BMW-3 Car Demo,Naveen Manja,https://sketchfab.com/3d-models/93fce305fc644254a20f01fda89abe97
a65d9f1c5fb64e289c8a0dfebd79ebc7,CC Attribution,BMW M1,PapaX007,https://sketchfab.com/3d-models/a65d9f1c5fb64e289c8a0dfebd79ebc7
ad59e622808642ad9bc399b12364e405,CC Attribution,BMW i8 Roadster 2019,Nieve5677,https://sketchfab.com/3d-models/ad59e622808642ad9bc399b12364e405
7e7626fd8dd34e4b8f0a5b21eb0a1fb0,CC Attribution-NonCommercial-ShareAlike,1982 BMW 728i E23,OUTPISTON,https://sketchfab.com/3d-models/7e7626fd8dd34e4b8f0a5b21eb0a1fb0
f787107eedda4434ac3880fbd1cbb079,CC Attribution-ShareAlike,Bmw_m4_competition_g82_2021,edik12308,https://sketchfab.com/3d-models/f787107eedda4434ac3880fbd1cbb079
f4a831ecb5c1492c8fef8030d913aaa8,CC Attribution-NonCommercial-ShareAlike,1996 BMW 850CSi (E31),OUTPISTON,https://sketchfab.com/3d-models/f4a831ecb5c1492c8fef8030d913aaa8
beb2400a3bc54cd2b446a6819efeb47b,CC Attribution,2000 BMW Z8,DisneyCars,https://sketchfab.com/3d-models/beb2400a3bc54cd2b446a6819efeb47b
7e5665c023c24938bc06c2872ea30cc1,CC Attribution,2022 BMW X6M Competition,Es-star kings,https://sketchfab.com/3d-models/7e5665c023c24938bc06c2872ea30cc1
18a952b3599f4f81ade570eb0ceccdf4,CC Attribution,2021 BMW iX3,tonielpro520,https://sketchfab.com/3d-models/18a952b3599f4f81ade570eb0ceccdf4
0c36e0fa738a427e937e52d614b66d21,CC Attribution,BMW_X7_M60i,rexrain studio,https://sketchfab.com/3d-models/0c36e0fa738a427e937e52d614b66d21
a41efb9c01e64d9d81a7896d2bbbb167,CC Attribution-NonCommercial-ShareAlike,2022 BMW M440i xDrive Gran Coupé,Ddiaz Design,https://sketchfab.com/3d-models/a41efb9c01e64d9d81a7896d2bbbb167
