uid,licence,source_title,source_creator,source_url
7aa3ddcdff9f40fea35331255062038d,CC Attribution,Bmw 318ti e46 compact,Res1n,https://sketchfab.com/3d-models/7aa3ddcdff9f40fea35331255062038d
79fb934cd6a54b74a46ac83ec5967fc2,CC Attribution,BMW i8,Mona x Supercars,https://sketchfab.com/3d-models/79fb934cd6a54b74a46ac83ec5967fc2
8a3a63aac6fc4ce3a1bceab3191337ef,CC Attribution-NonCommercial-ShareAlike,BMW M2 Coupé RR Edition,BMW'S Lost Proxy,https://sketchfab.com/3d-models/8a3a63aac6fc4ce3a1bceab3191337ef
9b211d525797457e988c903f67d0b753,CC Attribution,2020 BMW X5 M Competition,David_Holiday,https://sketchfab.com/3d-models/9b211d525797457e988c903f67d0b753
5abbc3bb38044837852393ede3f0636f,CC Attribution,2016 BMW M235i (F87),DisneyCars,https://sketchfab.com/3d-models/5abbc3bb38044837852393ede3f0636f
12c31c4e2a0e4c3ea5d29f2994a85b16,CC Attribution-NonCommercial-ShareAlike,1956 BMW Isetta 300 Convertible,OUTPISTON,https://sketchfab.com/3d-models/12c31c4e2a0e4c3ea5d29f2994a85b16
9cba50132a864bd79bfab48bd631574d,CC Attribution-NonCommercial-ShareAlike,2016 BMW X6 M,Ddiaz Design,https://sketchfab.com/3d-models/9cba50132a864bd79bfab48bd631574d
2a9a46b0d2a34dd4947be27ce6c98d3d,CC Attribution-NonCommercial-ShareAlike,2025 BMW M5 G99 Touring,Ddiaz Design,https://sketchfab.com/3d-models/2a9a46b0d2a34dd4947be27ce6c98d3d
e5454f274c4f44fa84e274c2583d7f5c,CC Attribution,2023 BMW i7,tonielpro520,https://sketchfab.com/3d-models/e5454f274c4f44fa84e274c2583d7f5c
14821cec9c49431db0ae17d24f8a1fea,CC Attribution,BMW E34 reworked,tk animations,https://sketchfab.com/3d-models/14821cec9c49431db0ae17d24f8a1fea
