uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
d8fe5ed2f02a44018337167f9bbc1ca8,ff6ad6c54f30263dcbdd650890f174d407b73707e6f0d1b590669efbc8678026,fiat,500,2026-08-09,2010,,,
4fd44f34848b40dc9fd15f465bf85355,408900a917cd689e747b570f405590254f95cae93957cde92cd601609d740887,fiat,124,2026-08-09,1966,,,
9e2b5be51bea44db835bb1691253623b,9232a4e0a8369d9e789d2eab57c46bc849c9f16f062760f7b9d3248a6543b1db,fiat,124,2026-08-09,1972,,,
8f51c52ca76c42f198da45a3e7cab8c0,6dd37f0ff42e2d56ee33536dc0bb2116e93fff10d9492b969342c9b5a497a5d1,fiat,125,2026-08-09,1970,,,
657a8633964543a7a0517245c317572c,a6b8d6a3f03a6b32036d3a4442f8e8585e03647eea82054bb54c34e62a0928b5,fiat,126,2026-08-09,,,,
4c1e032b0de24f5b97455d7c7c3ddfc4,f5d6b02bfb8e7700c45ecfdc418bc072b636212abc2cca6eacc1ec29e0cda7b6,fiat,132,2026-08-09,,,,
122e6e8a46a14e7c84a577a14cd05992,af69bb89e0b77b3036cb1edd91fe58971d614699cecf33b1002e7a11b27a3132,fiat,133,2026-08-09,,,,
5d32df1aa9c24aa8950d7df93ea97e55,9dacc0350469318be9a5899d01cc282cedb193f4f448a8d85bce330cb35d0b96,fiat,147,2026-08-09,,,,
8fa72021840a46d181b1af3d459d2c94,0497485f25e85f279ef34cc1e67e4dd08ec7110f7ed04805de2391cf255f2083,fiat,2300,2026-08-09,1961,,,
884014960e634060bbb47a505141b91f,bf54f64c7b4df909e4088ce795246143144ee502279c045f169920feecae9b3c,fiat,500,2026-08-09,,,,
213cd126fcd744809fb7996eb88366f5,19e2e531afaf92adcfbd94f48243928bff4b02320228409dc06b85aceacc4d98,fiat,500,2026-08-09,1970,,,
cd1c1ee74bf345078484edb21d8aab89,e369b35dc98e78d75c2023ff447add8ffd49e4b8c39ad9cf69c844581830632c,fiat,500,2026-08-09,,,,
c388a49e5a7d4637930122bccf90570c,cc9490235c27c022c45cc02b1d4c2bebe842b8aff2245c693c7a28fa06c99c9d,fiat,600,2026-08-09,1960,,,
1ef20016553841a293dc99ddad3c3241,60f9396d59751d1bc7305c3bf4442aa1ab39229c62b07687096c284f6a618978,fiat,600,2026-08-09,1967,,,
8d4b6f6483b64e05892c83e350a5409f,8fa38a7bce04d19e5cf49286361c6735ad2cc5ddf793424a09c936f2ae26243f,fiat,850,2026-08-09,,,,
8ea03b3cbb9f439ea82a68ddbeb5f6ae,0c74085161e90082995620bc255b3573a8b7c40bd1a7a29d3a3702292d6a9826,fiat,850 spider,2026-08-09,,,,
6d662a1d7afc40f7b027db84632ac8a1,0a9a1247c94b3d92ba2e8ebf20a86f99935a4e924b7a92d38520615d1a2f2d54,fiat,695,2026-08-09,,,,
3c55607e52bd47678ccc02a05134fc3d,d5f4b17ee0f71488889b267595f98ebbe46c3c8e4e516a3488c9e4270c4da24c,fiat,barchetta,2026-08-09,1995,,,
340f01c616834cbda7f45c761cfb5e05,efd277a0682e62ccf3fd1d93745560359d09fea9cf4e23c7209054a7bbe554ff,fiat,linea,2026-08-09,,,,
3503e4b22af7448392c646c70fecce56,a7b72e394273b8bacdda3f1543db9b82ac2bccf94821da627f03fa7b72a4c5c4,fiat,linea,2026-08-09,,,,
0756a0766fdc4ff0b3bc5b3f5285fbed,6cf8f70e59d55501398d2df7276d0e552ce7d759d1dfe3ea73388e4b65eb7f85,fiat,panda,2026-08-09,,,,
5f4f1ce29e884dd19c4eea5fb13606ae,00cabf822f68e58afe5e72bc9a97d1feff53f853d54e102b0edfc47327aade89,fiat,panda,2026-08-09,,,,
b31af925b47848dc89f281c4c80a744f,5c5afe1565b057b87a9064e02b811fda0c0078152ea2ce0b5a709ab0ccd09747,fiat,punto,2026-08-09,2009,,,
4e0ea80963ca476da24d420b0b944683,e27debac28c53c120d26825a7705d6705aa937052813e7800c9e1c1bdd0c6828,fiat,punto,2026-08-09,,,,
b13d897bf022434bb2cf78be9f9b2d17,8f719b14636608e1ae0efef29e4056d300b9678f49289ff77c942dedf3cfc3ef,fiat,regata,2026-08-09,1984,,,
8a10d49f817c4e758037fc36475945e8,40b8ed30ed5962a38664303e7677b807c25cf893b21f2daf22fa1a261a94a343,fiat,850 spring,2026-08-09,1968,,,
60cad0f797264ee0a54d2d2f843a9946,a9137165b169c2fd5757a4421ad0659c966a02a5db3ae6ec39f0950ea44b7c78,fiat,tempra,2026-08-09,1990,,,
d08a2c634d814a3194265a7a733b76e7,6da472adde6d50d33bf90777895585cc14464fc9b65d73a325d7b06c713cd5a9,fiat,tipo,2026-08-09,,,,
c143b9a3fa794613968ceb7f3d413b8d,5bb869866637e7d36ff4be78993985f7bfbe95e0594b80d4f07594a9ffbd8734,fiat,toro,2026-08-09,,,,
8cd1e4c9a309496a94b5306ce1a0b0f9,6d8f6dcf19b559c060e60b6bda2651b39f2c36ba197c1ee42891c94cd97ce9d1,fiat,x1/9,2026-08-09,,,,
6c643d284d144dcb8db46ab11285ec0b,47bbf5fe90bd3584c1154379ec65c6948c9d8989cc82de96471afbda32aa9fae,fiat,147,2026-08-09,,,,
b52eea677b32415e893e39c2fcb76163,5e9381efa1db1514462e7cd0866f22f88353659811b7b223383e69732f6a3b86,fiat,ducato,2026-08-09,,,,
