uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
35cbd73adbe8411b80bdeeaa4f3cd151,f870282aafac1f07bc411efc3ed26141a5a1d1589f4d807d24b81e5b7051eadf,honda,civic,2026-08-09,2022,,saloon,
01bd4f2a73f949d8840afb711429b3c1,80e8a27ff932bf02cd4868c648fc199d92c2658329213b7da42253f6ceee5536,honda,insight,2026-08-09,2010,,hatchback,
0aebfa48b6f140f694a3cbd62bbd5336,0dd75445783574336603928016bbf9a489b0d16e2996d3a05278cacc077a1653,honda,concerto,2026-08-09,1988,,saloon,
cad9679ec5d6403984b1421ccd3f3d25,40da84f30f13ef279c379f88963e67bd3a7c9cfc4f81bb553fe56354f93960b2,honda,integra,2026-08-09,1995,,coupe,
39bf36a5b88b4767973ce417cfdcf301,4f0e2e748a4eade16d4a675bc06e0824ceb3addddf893999ab813edd1992e59a,honda,accord,2026-08-09,,,saloon,
faa07ab210314dd2a52e678e1b4f5a9a,9e3eeace13fabfc925750f1f75532119a432712cc426dd7672569c7cda233a2e,honda,prelude,2026-08-09,1983,,coupe,
f749ed1e876d415b82efa5293836d92a,fafefe136f3016af91a5a775d6b7282be9ca9837fd5befc5a6d004c0cd2846bc,honda,odyssey,2026-08-09,1999,,mpv,
a856d729d9ec47fc8cb3b740199ed6bf,f06559694f7f8fdb70324897d8ec211837c982dc34efedccd47cc73bf9e86e91,honda,cr-x,2026-08-09,1988,,coupe,
db666ce23d7b42fdbcd93a73217ba363,98b620195389a473cf586dfd83672d601b0cffed65e59724c4b431a98f46c979,honda,odyssey,2026-08-09,2008,,mpv,
69183c2bf725484285552138c01ce93b,2c61e7740863f8a498b40029a2a10d2daaf8a7355435bb17df13bc97b0053e97,honda,prelude,2026-08-09,1978,,coupe,
d2c35fc6af904aa8a3a138ca21275b2a,57b225fec72cef40d7219975b6b59b7c9c2889957e8ca1563ca2e572b54330ec,honda,hr-v,2026-08-09,2025,,suv,
1c1d92ac8ae24ee5ba0e89a10c4fa595,49ddc3f7a28633e775e1467c9bf2c111950cabb39c969fdafea381acb1185027,honda,beat,2026-08-09,1991,,convertible,
d5af69ef34834f43a65b4aac78ca8929,5cd132c2e0c1424a7fb27bc7b3eecccd8dc778559c788d94a6c271ab5a753c26,honda,cr-z,2026-08-09,2011,,hatchback,
f973338c77ce4618b941612241d53f6a,02430eff58350ce11965cc9a5656ef4c84b78c123c5a6980b4991de01c684e43,honda,accord,2026-08-09,2021,,saloon,
4e3e9bd888fb4ec69f71cc487f33f4ba,588500187c4867aa646cb632a682cf6d33a34af78a6020e75efee77d59780447,honda,s660,2026-08-09,2015,,convertible,
db80634b538c40569bc77ebf829bac19,31735f3d5fe5115b77e3321614f61fcc647b61dc51ffe664ccc982e790725b49,honda,odyssey,2026-08-09,2011,,mpv,
