uid,licence
35cbd73adbe8411b80bdeeaa4f3cd151,CC Attribution
01bd4f2a73f949d8840afb711429b3c1,CC Attribution
0aebfa48b6f140f694a3cbd62bbd5336,CC Attribution
cad9679ec5d6403984b1421ccd3f3d25,CC Attribution
39bf36a5b88b4767973ce417cfdcf301,CC Attribution
faa07ab210314dd2a52e678e1b4f5a9a,CC Attribution
f749ed1e876d415b82efa5293836d92a,CC Attribution
a856d729d9ec47fc8cb3b740199ed6bf,CC Attribution
db666ce23d7b42fdbcd93a73217ba363,CC Attribution
69183c2bf725484285552138c01ce93b,CC Attribution
d2c35fc6af904aa8a3a138ca21275b2a,CC Attribution
1c1d92ac8ae24ee5ba0e89a10c4fa595,CC Attribution
d5af69ef34834f43a65b4aac78ca8929,CC Attribution
f973338c77ce4618b941612241d53f6a,CC Attribution
4e3e9bd888fb4ec69f71cc487f33f4ba,CC Attribution
db80634b538c40569bc77ebf829bac19,CC Attribution
d4f83dedc8f54c27b5c9103a662d1062,CC Attribution
6eccbee181b143b28764a82b15f0a62d,CC Attribution
3f5ef3ff34c04f839c05709c6fa5ce1c,CC Attribution
b3c0f77626644e99b54304aebbafc60b,CC Attribution
d5d98cef2a4240b6be91e03a1afcb0e1,CC Attribution
baa08e5aea7a4f638d98db2050c21112,CC Attribution
92e568f639384c3b9c3ced96512f6f1d,CC Attribution
1bddd17deee44ef8b8a401e8a25a6b5d,CC Attribution
8d0d4ce034ef435db9167b18161ef57f,CC Attribution
7ea59d42e17a4d1f9a98b840740a3aa6,CC Attribution
5328bd7313e346789568266d67081ba3,CC Attribution
8788e6274878465a9e03a063844eba7c,CC Attribution
24abc0e850f64705906c910e91a6ac4a,CC Attribution
1bb32fd8460e47af82518e43f172f916,CC Attribution
770a5c9b025449f59769d8cd27d915bb,CC Attribution
1860f7cc43544306a4148ba5953cfac4,CC Attribution
ade1ab7ab2df4618a802431f3237f250,CC Attribution
a21edb35a7714774a10b74642e815ca2,CC Attribution-NonCommercial-ShareAlike
65e2974c74254021b027b223190418e8,CC Attribution
f00136dfd77348b1a053d98fadd43602,CC Attribution
737fd0a261fd4f32b431c838dcc57c0f,CC Attribution
0669147fb3ba4cca95ea942add743b2b,CC Attribution-NonCommercial-ShareAlike
abeaa957199c473ea3d293f7e669bf34,CC Attribution-NonCommercial-ShareAlike
ce29e75eb129406f874e0423ab8869c3,CC Attribution-NonCommercial-ShareAlike
4f8ff01b643d4795a6a515478a6fd9d6,CC Attribution
1acb615324254e53a04860e786ade136,CC Attribution
974385e940e84fd6bf47ca04c2e69313,CC Attribution
0dc6454d74a241e5a08fac82ce2826b2,CC Attribution
18e956bcf53b4f1191a9fb6b5b70efe2,CC Attribution
3565e8277a484f14b45c6888ca61a2b2,CC Attribution
