uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
392c09589156423eabcf8cd011b2c755,62dcede108d41a8177098f87557bdcf2732de11e3f8993349a4cc2531692bd85,hyundai,grand-i10-nios,2026-08-10,,,,
82876de1b064450cb8f033a2d3e90758,2ed6766f5b5f48409000c700eb5f88c6db3e1b37a9bcd2c342965c9448289551,hyundai,ix55-veracruz,2026-08-10,2011,,,
cec6b04b06724f1088129c1054ccb1ec,1d447d08a83052f3d7aeafbfcd1667b139db975673cbc0a56aa269c89e2ff2be,hyundai,accent,2026-08-10,2013,,,
a82f0f2d937e4cf694c2de7cdbfba093,1cba4b8b427b3e30aa9a3c1eed1fb3530671b461aa92e4b0e49b67325ef59fcb,hyundai,getz,2026-08-10,2006,,,
e71dd7d6b29245ca9d17ea1fd44edea7,577b8407f9ec7400ef5668861c30771ae774e9c17ef2b6f9176c5ee54cd0697a,hyundai,i20,2026-08-10,2010,,,
b483a4442fd94a31bfd771df38acf9c7,5350946ec00741ba0ac0e30e117d4f202eaaf33f33d285d5860173346799e211,hyundai,sonata,2026-08-10,2015,,,
48b4df148c3a4ec2875ab082c197b42f,a111963790794f921cf3c5c99a979d65699c781c2ed2260fa8163df753da863b,hyundai,tucson-plug-in-hybrid,2026-08-10,2025,,,
d85ea2322d814899ad5905210f2c0e5a,d26be76b343da8b9fbf2e7fd6f8cf82a33cc7a330def6385bc426a855beb7c61,hyundai,veloster-n,2026-08-10,2022,,,
331101b358104178b9e96bd749818b32,ddd0de44e0349bf4b632b3350f62cad352efa84eae91cf62a70c888fe568e5d3,hyundai,staria-premium,2026-08-10,2022,,,
67645b6f549441a786e2b4050dc0268b,b51f6d2af626b625d093b260f8d9a4af488138273e176b3f17b8126a3d7b513c,hyundai,creta,2026-08-10,,,,
9f633163211e418f93aedaf6da97435d,3f9b57ff3f48b57ce808bcf83f90f9775994a4a71fea05ae29e3e7144cd20785,hyundai,tucson-l-turbo-hybrid,2026-08-10,2025,,,
8d16325eb7974a948627b3cd77f30f52,c87aef88cf9cf7df52604d5e2f731de13ead920b86c528be019bcac91d64f51c,hyundai,ioniq-5-n,2026-08-10,2024,,,
3cc28d4cf5574383b7dc030638ee6199,c3249a09babbfaa6c2d53e91a7731fdeb3ba6e24d8f045140fda0a64e0cc588c,hyundai,creta,2026-08-10,2023,,,
4ba1b1b0eb844e318cc708ada1f2f51f,be9261fa84aa11640d56a832977d5255c48ff2b2207db589fecb2dae50d97403,hyundai,elantra-n,2026-08-10,2024,,,
673a4a83715d411ba713c0c270cdf93f,c95c65551710eec4b3eb2d0a21a0b9ee514b328290335423299800bbda0e4178,hyundai,elantra-n,2026-08-10,2021,,,
20896e8928d943dabcaaf67dbb53c9da,4654d9ded7b654f7a79e958aaecfeb36bf8654eccd80e354bd340ad758b06639,hyundai,kona,2026-08-10,2019,,,
51da19ac92424e96a6e989caf6c1fb43,21fe0e332f06e986fade45b0b537862d763e08d86feb111c7239e5941ee1ab0f,hyundai,encino-ev,2026-08-10,2021,,,
fa88bbdbe0df406b8eab167b9591d2f2,20a286b955aca12df512c6cc4dc95fc1c368b07beb878b3ebc252355dca4c271,hyundai,ix25---creta,2026-08-10,2020,,,
274079ecb1b84307897656c09ee3376a,61043421470b477a64623519a4f19a2dce3e6bed8706087586124645c160ec12,hyundai,veloster-turbo,2026-08-10,2013,,,
b9622ed6ec3c4bc9abb196693764548c,6b394f2e6d4f9983beb20c3ad634d3be6f28eddea3ef5315a920f1ef31c488f8,hyundai,tiburon,2026-08-10,2003,,,
c435ef02b27140e2a5f800c622bb4c04,feb97367ee2e063e8fd4018b6f7679fbc8f87e1514bca3a96a81da25fddd1df8,hyundai,sonata-hybrid,2026-08-10,2017,,,
eaa8b99f11c54df58d00cd3873895e02,f60262bbb05dc00474be90db44b591cdfa87cb9828e97444f02aaf8a6111429f,hyundai,excel,2026-08-10,1990,,,
