uid,licence
392c09589156423eabcf8cd011b2c755,CC Attribution
82876de1b064450cb8f033a2d3e90758,CC Attribution
cec6b04b06724f1088129c1054ccb1ec,CC Attribution
a82f0f2d937e4cf694c2de7cdbfba093,CC Attribution
e71dd7d6b29245ca9d17ea1fd44edea7,CC Attribution
b483a4442fd94a31bfd771df38acf9c7,CC Attribution
48b4df148c3a4ec2875ab082c197b42f,CC Attribution-NonCommercial-ShareAlike
d85ea2322d814899ad5905210f2c0e5a,CC Attribution-NonCommercial-ShareAlike
331101b358104178b9e96bd749818b32,CC Attribution
67645b6f549441a786e2b4050dc0268b,CC Attribution
9f633163211e418f93aedaf6da97435d,CC Attribution-NonCommercial-ShareAlike
8d16325eb7974a948627b3cd77f30f52,CC Attribution-NonCommercial
3cc28d4cf5574383b7dc030638ee6199,CC Attribution-NonCommercial
4ba1b1b0eb844e318cc708ada1f2f51f,CC Attribution-NonCommercial
673a4a83715d411ba713c0c270cdf93f,CC Attribution
20896e8928d943dabcaaf67dbb53c9da,CC Attribution
51da19ac92424e96a6e989caf6c1fb43,CC Attribution-NonCommercial
fa88bbdbe0df406b8eab167b9591d2f2,CC Attribution-NonCommercial
274079ecb1b84307897656c09ee3376a,CC Attribution
b9622ed6ec3c4bc9abb196693764548c,CC Attribution
c435ef02b27140e2a5f800c622bb4c04,CC Attribution
eaa8b99f11c54df58d00cd3873895e02,CC Attribution
