uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
d526aafcb857434284b1a432993a77cf,91df911126931d934a727aa535c74363e9607b853277a4164fdf1890a5085f3a,jaguar,E-Type,2026-08-11,1963,,,4.2
1a843d6163194c2580ba4dac1c7d54c6,029f0fa85a23c0b2f4008b4fe41b9821f44b3f504e04ba3a799338ce4cd5f7d5,jaguar,E-Type,2026-08-11,1971,,,V12 Roadster
b2e428dddc764fd0aaf7aec3093cab12,79bb56b37b30467eb6a8d17310cf6fd7cbc53810b15b49df01f41f68209d3683,jaguar,F-Type,2026-08-11,,,,Convertible
548f9180774c4bc6852adbfd409f0796,f99da6a2df539673f37d30fcb0279a51e043bb14ba32ff3ea313408409ed5e11,jaguar,F-Type,2026-08-11,,,,
b338091497c64d31bef9bd7de49ade81,516efbbdc7f5c8af13f447c780cfa47e49bec1700132329b3c0778b0a3f53bba,jaguar,F-Type,2026-08-11,,,,
333a053cfef3424fb0194e4f3a4472d9,00a3d5528b432a41675dfddb3937653336544eae98ae021d62cb00bdd42c4ec8,jaguar,F-Type,2026-08-11,2016,,,Project 7
1958208dfe094224b261465d73ece0ee,d33c2e1b6ce06dd89e811343e9d86f56729355d8619a256436f79428bfcd70f2,jaguar,F-Type,2026-08-11,2017,,,R Convertible
a3a6175a66e24145ab49fa171edc3334,3bf00a3518405a7fb80e3728db2d31ae219996b0a25cb73656311b1a0349486d,jaguar,F-Type,2026-08-11,2018,,,SVR Coupe
ec94f812b58a470ca133173c479cf1ce,803f414d2f009e8e9e84db689cb15537b38f72f26607cecb3b4d5264aeb7b60a,jaguar,F-Type,2026-08-11,2019,,,R Convertible
7c2c7dde73664c32be7dc1a5a6522ec7,e5af94cf91f29a437773762ff29c8d3ddac80f42139e2f09aaa62a1442c375ed,jaguar,F-Type,2026-08-11,2021,,,R Convertible
3ea106994ec9442eb4b72906026fa215,4f6f6126148673a921e98c355c3bcc026c4bdb217af45022a71496a0c5e7864a,jaguar,I-Pace,2026-08-11,,,,Concept
5a58d1a8eb2043af8916e828fc9d7ff4,26927a303f0d59cbc5da7f97a47e575931bd9600b7b547c0f3252a5057b9f38b,jaguar,MK2,2026-08-11,1962,,,
9242afa6a7ae4800833e18b1249fa3f9,a0fb4a16c89d397773e161afc35e5d0a3e139ce7a80a28545630a1e038b519a2,jaguar,XE,2026-08-11,2018,,,SV Project 8
a7a865ac27f6458bb42525e4aebb2a56,a4934ebdfe9b8c4f6981c20e82d8b28cb77297034b0b87e24b5dfbc4ef4a351f,jaguar,XF,2026-08-11,,,,
0ad7a343bd184a1aa016095380709830,a43ea0860ce0a21fa35998a710486557ce4aa9f05fb590335df4cb756abafa24,jaguar,XFR-S,2026-08-11,,,,Sportbrake
ce7dfd765748429f8f64b7683b49d581,da97b65f22962832749aeeac3869398f9e407e584c83e5f5a06aef205d594fe8,jaguar,XJ,2026-08-11,2015,,,
7dd7bc17b4564f6eb03542ad6cab6dda,5f96796a8e0154cb0e90a576d36f1d1d38e70cb98ed745541cb5f3a71dfb731c,jaguar,XJ220,2026-08-11,1992,,,
b2f7313e8fa3453699dab7b9a17f56fb,06046fc6aa6fa5b9818d8f9bc31786207ecb853f83ab67b9c9b862a8ff16c367,jaguar,XKR,2026-08-11,2010,,,
d0ba246165e84672bc4fcab175a328eb,01aebfec16f903650ea320863947a56bfbd81ea430e7a4c955130424c60d7316,jaguar,XKR-S,2026-08-11,2014,,,GT
