uid,licence
d526aafcb857434284b1a432993a77cf,CC Attribution-NonCommercial-ShareAlike
1a843d6163194c2580ba4dac1c7d54c6,CC Attribution-NonCommercial-ShareAlike
b2e428dddc764fd0aaf7aec3093cab12,CC Attribution
548f9180774c4bc6852adbfd409f0796,CC Attribution
b338091497c64d31bef9bd7de49ade81,CC Attribution
333a053cfef3424fb0194e4f3a4472d9,CC Attribution-NonCommercial-ShareAlike
1958208dfe094224b261465d73ece0ee,CC Attribution-NonCommercial-ShareAlike
a3a6175a66e24145ab49fa171edc3334,CC Attribution-NonCommercial-ShareAlike
ec94f812b58a470ca133173c479cf1ce,CC Attribution-NonCommercial-ShareAlike
7c2c7dde73664c32be7dc1a5a6522ec7,CC Attribution-NonCommercial-ShareAlike
3ea106994ec9442eb4b72906026fa215,CC Attribution
5a58d1a8eb2043af8916e828fc9d7ff4,CC Attribution
9242afa6a7ae4800833e18b1249fa3f9,CC Attribution-NonCommercial
a7a865ac27f6458bb42525e4aebb2a56,CC Attribution
0ad7a343bd184a1aa016095380709830,CC Attribution
ce7dfd765748429f8f64b7683b49d581,CC Attribution
7dd7bc17b4564f6eb03542ad6cab6dda,CC Attribution-NonCommercial-ShareAlike
b2f7313e8fa3453699dab7b9a17f56fb,CC Attribution
d0ba246165e84672bc4fcab175a328eb,CC Attribution
d3b9a8c5e6bc4ba3818bead275c53ecf,CC Attribution
