uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
73bd5b50f8e54bde9dad4e6d04b3225b,11c643fa394005bcbd5d9e645a9b5f21c1d676e26aa642b59f088c44be597a25,jeep,Grand Cherokee,2026-08-11,,,,
8e35262e1a1c4ce092c48fecc785b957,483a847995bc492dd3c60eb35315a9fa0032c122319b97ce0481df0bdc6ca1d8,jeep,Cherokee,2026-08-11,2000,,,
f8024595e11c48119877c9c7cc554abc,3e3ce07484a1e5db098e349b39e5561bdb45acaa162c38a42c25db46474e3963,jeep,Grand Cherokee,2026-08-11,,,,Trackhawk
032f67b38e7c4302b9b05b1875077186,05188d6c6a8623bbe73611720b346b78cdb0f1a09d69ac6aebe48525205f54b5,jeep,Grand Cherokee,2026-08-11,2018,,,Trackhawk
11335c9ff9b54e75a0f6ce80b7357406,9ee68a52084b0f84905099026304a7fc80a41d3f331aed845e70202596b59b1e,jeep,Cherokee,2026-08-11,2019,,,
531f120594d946be8cd9d87b5095f856,666acab9e63a109fccb403d7b68986134368418944754d25d5c3d63eaa8df7cd,jeep,Wrangler,2026-08-11,,,,
7247a74596224c3dadc219836430279c,5a769a91eebea8fbc316cb8e605754d14013300e85ab049368ff7c1fa30b1bfd,jeep,Wrangler,2026-08-11,2023,,,Rubicon 392 20th Anniversary
aae5b65c544d40a4b8eaf95d907e67cd,c06b3e9bf0671ed44dbb9a3df64ba1042d3fba3a49c07be3044c9e23795fea3f,jeep,Wrangler,2026-08-11,,,,Rubicon
a50b83c3f6554230818a9a7a93587c37,69637e697fe25f3561a48873c27b231e6f1d7f7199ae3eb0d2d54bce71ebf5fe,jeep,Wrangler,2026-08-11,2007,,,Rubicon
792a45417e23488d88f3bcf7615d7f26,20577932acc5af73b05b30b25899c19a6418b7cba7475d3eaa874f9604fce798,jeep,Gladiator,2026-08-11,1962,,,
6dc305bfecb04efe9f0da0ad5fabfde8,8136414c02d0f2ec6e9128e63eb1346b3c0fca49c101bdf1947020def00d7839,jeep,Wagoneer,2026-08-11,1978,,,
98bc399af1e948eda5db6d75c5bb649d,60e1d0e65565640a4ba2dbee2fd7926e13781016ddf6bcbbe302a6f0d0613f4e,jeep,Gladiator,2026-08-11,2020,,,
10ce4861ef62411183c185ca1998d1c2,dc02d439a56cb551ec01ce89932b731342a68619e3829c25b7b1cfba1b57ca50,jeep,Grand Commander,2026-08-11,2021,,,
