uid,licence
73bd5b50f8e54bde9dad4e6d04b3225b,CC Attribution-NonCommercial-ShareAlike
8e35262e1a1c4ce092c48fecc785b957,CC Attribution
f8024595e11c48119877c9c7cc554abc,CC Attribution
032f67b38e7c4302b9b05b1875077186,CC Attribution-NonCommercial-ShareAlike
11335c9ff9b54e75a0f6ce80b7357406,CC Attribution-NonCommercial-ShareAlike
531f120594d946be8cd9d87b5095f856,CC Attribution
7247a74596224c3dadc219836430279c,CC Attribution-NonCommercial-ShareAlike
aae5b65c544d40a4b8eaf95d907e67cd,CC Attribution-NonCommercial-ShareAlike
a50b83c3f6554230818a9a7a93587c37,CC Attribution-NonCommercial-ShareAlike
792a45417e23488d88f3bcf7615d7f26,CC Attribution
6dc305bfecb04efe9f0da0ad5fabfde8,CC Attribution
98bc399af1e948eda5db6d75c5bb649d,CC Attribution-NonCommercial-ShareAlike
10ce4861ef62411183c185ca1998d1c2,CC Attribution-NonCommercial-ShareAlike
