uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
640826210d2a4be9ae6e638fec1e84fa,4b44b0e08df64ab91f4d106a130174fcc86747e67b36587583fdd02d93176edc,land rover,range rover sport,2026-08-10,2023,,,
e13b61cf780b4751ac429facacb7250b,86fc82b37905edc9b8cbd534fcecfb0f584499a7775787619605a32b87c8d730,land rover,range rover,2026-08-10,,,,
ffba8330b24d42daac8905fa0102eb97,aee9a5446e9b1b3bb841943e8426915c2b6609a0c14513f68ae0ec33f0bc6baf,land rover,range rover,2026-08-10,,,,
48d256ab61c748d2ae1757ad39897353,d17b6cadd1c2118aa9733188801490c61da45819effc29d49c141bab69d9e21c,land rover,discovery,2026-08-10,2022,,,
b68c443c8dae42359fb26a9282a3d572,46e1c22d8a16190e60c2bb0c983790429c03c845a9c9f2bd16e968dd279007fb,land rover,range rover sport,2026-08-10,2023,,,
df39d84cc8d04887801052e6900cb269,c5cfa74e6e84da609c632baf7b55f0c0e99ae3285be7664e6fd79bb1d8e81573,land rover,defender,2026-08-10,,,,
fa4d79a5875e4733a71101e28a30e2e3,51fa514039550028b5b1a6e6b088f3259be83802154a64a0d82f451b7874fcb5,land rover,range rover,2026-08-10,2022,,,
55f93b71956a43329ade06c986970a40,9b9d5d15c753cbd92514eb24b1471a50714e15ac7a2a4fff14b41c0e6c88e7a5,land rover,discovery,2026-08-10,2018,,,
43fe3d9855ef409892d976bd8850d819,d544a95fec662462a0517aabc3c4a86b97df2c2e57f200ba267fce0aa0731e59,land rover,range rover,2026-08-10,2008,,,
dbc671780fd84291a829c3f8aeebd326,b2b8c3729cab095ea0ff4cb560d097bb263086468eb2a1ffe31302efb6bb72d4,land rover,range rover evoque,2026-08-10,2016,,,
