uid,licence
640826210d2a4be9ae6e638fec1e84fa,CC Attribution
e13b61cf780b4751ac429facacb7250b,CC Attribution-NonCommercial
ffba8330b24d42daac8905fa0102eb97,CC Attribution
48d256ab61c748d2ae1757ad39897353,CC Attribution
b68c443c8dae42359fb26a9282a3d572,CC Attribution-NonCommercial-ShareAlike
df39d84cc8d04887801052e6900cb269,CC Attribution
fa4d79a5875e4733a71101e28a30e2e3,CC Attribution
55f93b71956a43329ade06c986970a40,CC Attribution
43fe3d9855ef409892d976bd8850d819,CC Attribution-NonCommercial-ShareAlike
dbc671780fd84291a829c3f8aeebd326,CC Attribution-NonCommercial-ShareAlike
