uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
844687fb9c84476ea1a2f5ea8c909ed2,2b347ad1cc834223bf01fa3b0297382e8d72039a07cfb99805d60c516c470243,lexus,unknown,2026-08-11,,,,
ec3a23f5653d44a68b4b2d5d6c3a582b,b908984f9ae2c513bc88cff7b6265b490bffe43453cebb324cbb421ee3bf05c3,lexus,es350-f-sport,2026-08-11,2021,,,F Sport
a89d18432d5047549c4e8b9a66cb2d7d,d0dd7d677d86bf45b425196dba3cb18bac1ace7d28239035e8ca937e25b91183,lexus,gs-350,2026-08-11,2011,,,
ed1031b9710c41449a3fb05c7a764075,96a013cf9aceb5d49fa3a118097990b5b6a93bb9a0bd1c7f68c2616005791f59,lexus,gs-s130,2026-08-11,1997,,,
e244015ca952458da17f72356a9e6825,0f5dcb42192d49b33f44b6013140fd51fa7576481424fc41f53dd9c21ff1077a,lexus,gx,2026-08-11,2024,,,
2c8aadc8d0ea4ec180f758cd1361254b,c9034e38a2efb8b905c3f3f4c0fbc29342d576231fec3b22ffd569cdaf1de317,lexus,gx-550-h-overtrail,2026-08-11,2023,,,Overtrail
281a547f226543d680e4f27ae0304278,d49bf9f4ffb0651aa90838c9d769c3cf5803e07e6f45f2f73c07170bd0bf70f7,lexus,is300-200,2026-08-11,,,,
5a44f422b6bb463c87ce35c8dc8664f2,d74443f635a9e4030cf6fbce6af7b875fcbfe7f14db668faf62351d5ae90e89f,lexus,lc,2026-08-11,2020,,,
06f7ccfdf2aa4ef7afce64da59cacb16,06c2a7115244546858a1a7b98d8333b8ba1d06ac5345998e53ce72462c6061d4,lexus,lc-500,2026-08-11,2017,,,
05900382647c42d19ab925f23eabca62,103840b93a72a8900905661c158f69e9ee2ec1cf4a388f55c594891639e42a84,lexus,lfa,2026-08-11,2010,,,
83d062d1cd144e6a944c7415ef864889,b06a4b23e32d08c549c9ceff9dd17f48558f83b93f7125677783685e72500b47,lexus,lfa,2026-08-11,2011,,,
ab0ced1a02da4cada957f48a4fdda173,d21ddc2cb40c36ad8eb9a8e7140e9b43fe59fe2cf4f5e88e68d0a40d50da41c3,lexus,ls-mk2,2026-08-11,1997,,,
605997db34c445898e4e92c8f4524378,19ae3253e5a30d7f442f52a9411bbbc8078f406168aa6788bb4588f00ce7576d,lexus,lx-570,2026-08-11,,,,
1e2a4a0d99844ce7b56956fc0ea0d8a7,7f154f7a46f43f59a12a60d93cb8ff5f9c74c16aa7f6e16a9ee23ecd54cfbd62,lexus,lx-j100,2026-08-11,2003,,,
5fd55243ce26447fa5a1fb8c15efbd1a,16da77ab6a87740456c7ab72e8644895e80b06233aad4f557be578842b354962,lexus,lx570,2026-08-11,2015,,,
1dd2df7c68e74ca3a3ea83fb6c4bd1a2,bf17d4b34abcb2f5a5d0c30d0cd9662da54744943016f81f4c237c8b9e1083cb,lexus,lx700h,2026-08-11,2025,,,
2cb8265d1ce84bc4a3145ce641c1435f,72be3c4879d579e0a072430ad115a6f2d675d5b34d49a6d7a4f59bec3775021c,lexus,rc-f-(usc10),2026-08-11,,,,F
40a8a1c9f57f48059db8c6e3c0c3e65b,92ebd2a39f9558d31b868e12395719812996f84185a0c45cda324acfcb283ce5,lexus,rx450h,2026-08-11,,,,
