uid,licence
844687fb9c84476ea1a2f5ea8c909ed2,CC Attribution-NonCommercial
ec3a23f5653d44a68b4b2d5d6c3a582b,CC Attribution
a89d18432d5047549c4e8b9a66cb2d7d,CC Attribution
ed1031b9710c41449a3fb05c7a764075,CC Attribution
e244015ca952458da17f72356a9e6825,CC Attribution
2c8aadc8d0ea4ec180f758cd1361254b,CC Attribution-NonCommercial-ShareAlike
281a547f226543d680e4f27ae0304278,Free Standard
5a44f422b6bb463c87ce35c8dc8664f2,CC Attribution
06f7ccfdf2aa4ef7afce64da59cacb16,CC Attribution-NonCommercial-ShareAlike
05900382647c42d19ab925f23eabca62,CC Attribution
83d062d1cd144e6a944c7415ef864889,CC Attribution-NonCommercial-ShareAlike
ab0ced1a02da4cada957f48a4fdda173,CC Attribution
605997db34c445898e4e92c8f4524378,CC Attribution
1e2a4a0d99844ce7b56956fc0ea0d8a7,CC Attribution
5fd55243ce26447fa5a1fb8c15efbd1a,CC Attribution
1dd2df7c68e74ca3a3ea83fb6c4bd1a2,CC Attribution-NonCommercial-ShareAlike
2cb8265d1ce84bc4a3145ce641c1435f,CC Attribution
40a8a1c9f57f48059db8c6e3c0c3e65b,CC Attribution
