uid,licence
2ed2e0b4aae845abb09f878395cf7c66,CC Attribution
9e2b1d5818e14ae597d0f9f378907f2c,CC Attribution
8716066856f0479981d72ebbbccd54a0,CC Attribution-NonCommercial-ShareAlike
97746ee52009476fbc0a3554b5375153,CC Attribution
0b1995a46ee446a8b92b0e77ee55a4e6,CC Attribution
ea176c6ebe814be3b06641bf038f8642,CC Attribution
df14cdae745243d9ac1dda29adff25fb,CC Attribution-NonCommercial-ShareAlike
d1418e5b19b748b480e9fd19696a69ae,CC Attribution
88a6ab0447664c5da1f696539c1c56f7,CC Attribution
bb77951b837943ea9e5a805f9df236c3,CC Attribution
96056443d55c4afaa90099e9e1d45d9b,CC Attribution
6282a3b12ba34fec9eccbfc53a59e096,CC Attribution
1f3ef39f1c95445197ac5076a2d696c2,CC Attribution-NonCommercial-ShareAlike
9f560166fa2c4a9a8c9aa6ac86b0e33e,Free Standard
7d3ac0221bfa479eb920bd2c83417986,CC Attribution
a9feec19d8fb4ad7bff896cba234278a,CC Attribution
c161912a9a3e4b66a2fa1d937cdcf48b,CC Attribution
cb27c2a4b28e4f24a857be10dd0f8bab,CC Attribution-NonCommercial-ShareAlike
0a954cfa1e64452ba06c151b9cc50242,CC Attribution-NonCommercial-ShareAlike
a8d5301ccbf548b3bc3080d0193f254f,CC Attribution-NonCommercial-ShareAlike
0a12dda232354cf6bcf5854451842502,CC Attribution-NonCommercial-ShareAlike
a72de3f3c1604409a7e6fc6be9854c9d,CC Attribution-NonCommercial-ShareAlike
9f860e2b0ba04c6999fef0e106c88540,CC Attribution
19d27d433fe64057babd661934218ffd,CC Attribution
7a469399cfae4e438ea5c86e56d938f2,CC Attribution
06be4801411f449b928bc2d1379ead98,CC Attribution
