uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
1770104e89f84a8f9ce4a0fd9ae131ac,478f9e62e8f781fb758062da02366c0cb2f65fee682aec3002ca68c325798805,peugeot,508,2026-08-09,2021,,saloon,
3bf90277b3594803b4206efe764038ad,4e0b7f8d0a0acded632db5d7afa47b70c7a907a5f5bee1ba61c430f2de67d43c,peugeot,307,2026-08-09,,,hatchback,
3e5e14fdb1f94f25a5b572caf518f55d,8fb8c42fc04e12b106056cd826b332f260ea8b307fd33e6db8ab776588a47934,peugeot,3008,2026-08-09,,,suv,
4b55488b331041c299955a937334113b,81c6aabd45a0f0e2aa28ffc6e397b74a7966f296ab739189fe4de5e2b6d28f25,peugeot,406,2026-08-09,1998,,saloon,
513b76a9909049f49327c0b83bc5b56b,1441fefb7b5dfda02c378ba7201d0a1492a6329f6722ff6fd48b8663c43b4c51,peugeot,206,2026-08-09,2000,,hatchback,
52deb999ad964d2496c9fd25ee84c2d4,0874b512b1e0d84d4c759b1cba9cf9e2baf1d32a76d92a4691149611292eb738,peugeot,206,2026-08-09,2003,,hatchback,
cc25e4d5a33a402e81ab764be6a0f61e,d734f1b528fa6098483ceaa1185dcaeced64784d251ac7acc970e9cb6cedb96f,peugeot,504,2026-08-09,1968,,saloon,
b0dbc2e209d545f9a2becdf9a7ab43ef,8df517e0e97e78e4c038c1e0b012ab215e98e2305dc20a636623c719d549e1cf,peugeot,205,2026-08-09,1997,,hatchback,
deaac3bd68604aee8f8365d784f8ab34,aeab65ef19e7d59f8b2874ea4ae8f561fef63908d49a981141514acee9220208,peugeot,407,2026-08-09,2005,,saloon,
6291b66452614464889a71c8337b8c85,53a56b9fcbd54d7a18c6ee95662524388a23069e458727dbf6dec1fadd744d0e,peugeot,2008,2026-08-09,2018,,suv,
0edcda285432434a8d127b44ad6da808,d505beabe78084c2e9fa0d58a7c26bbe00159a7c095d12549de7b3ec1ee7f118,peugeot,2008,2026-08-09,2020,,suv,
ff2b04cf7da94cbdbd277fe23b7204b8,6bf98f8b2b326201b8d0a69e521722ce7ea6de6073d973dc3ab8d4f90435ec8b,peugeot,205,2026-08-09,,,convertible,
b2ef11bf94b848618b5b7f38e202316b,bc64e9b92e58d849dbb8fc0eaaf95f3234c7a116a45b6257dc933a9f52a3b672,peugeot,206,2026-08-09,,,hatchback,
fa2cfaaab79b4d18a0fc89ba25a02f07,be7e2d8ea4b48fe368bb1d56cc0ace9e93d7988aa322712085e14ae5bba78570,peugeot,207,2026-08-09,,,hatchback,
9b59ff092c1c4f1f918ac7c16fe679a7,f90cc6a36014bdde56aed6ec1dad9cda815c720aa0ecc9ff645c7bc5ffac234d,peugeot,207,2026-08-09,,,hatchback,
fe211e55acf54aa4a70c522ce720e17a,c469367d6318a70d423cc13b7725e023ea969dccefbf63db1da15ae042623989,peugeot,308,2026-08-09,2020,,hatchback,
bcbd76ac8d8949bc8e4b9f411d2f8745,3cec262510a446b2e876ff9d9692bea49b31e93c441c5a317120ed0402230d8c,peugeot,rcz,2026-08-09,,,coupe,
68ae14e9883b4405852b404844384cdf,ca5c692cb0b262ca883d15d214da8600f22ad85f4ec43ad2bf6540d283165894,peugeot,308,2026-08-09,2026,,hatchback,
e538cff86fef432287ec93c7c6f91931,2bd188ea7fb4b1a0d0ff8d270bee0b0017e896b8afd65c6f2cdf66bdd04970a4,peugeot,308,2026-08-09,,,estate,
cf15d0c9a7ac485ba4a33a996e6c5589,4c12bf13b9b09faa29aeefa16404659ece468422bd75eaa76dc9c51ac57492a0,peugeot,404,2026-08-09,,,saloon,
602dbd0634754339b47de7b1d18bf143,435eeb3d887d01d62be82eaba5d81fa6f5abf0abeeb3187bad42cdae120e28b4,peugeot,405,2026-08-09,,,saloon,
7cb921f0266d4a729e44ff69f7c0c730,c9514b2a05512d15c4530d9d779c480a47bf04bfe0249862ea00fa0525983c8b,peugeot,406,2026-08-09,,,saloon,
ad75c776d8144bc98527d19b6fd0d58f,6b5023dda71d9b0332b0d55e9fa625472a97fa2695b92073bd89c1dd79c01374,peugeot,406,2026-08-09,,,saloon,
ef5d59b78b96496fab2731b138820ea2,e416971c5fbd6d6bdad00e9d4747de506408507e3df19f48e274e5bacd8062a9,peugeot,207,2026-08-09,,,hatchback,
