uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
03af3f482d9144bd993e580441ff3225,ddec406cc1e7bd01e9e28f7da0f44ae835fa7263cf54b778001f429263e5090d,porsche,911,2026-08-11,2021,,,Targa 4S
03e383400bb74626bcdedbbe198a5849,4667ac812fa0a6ed7a3debbc55a7fbe5f8a14fbf943416933fd2fdbf4d9df529,porsche,cayman,2026-08-11,2014,,,S
04f556e0a2aa425185dcee7f7f1e2ff1,2cbebbd7bde22128154df4e375496afc8d7208f4144188097db15d00732beadd,porsche,911,2026-08-11,2018,,,
0530aa8fa4b74427a71c961a5bdd7087,651d436da16be64578de0fe34c34191ef59786a9d89429404391a6adfae18a1d,porsche,959,2026-08-11,,,,
081cf9a708bb4b8b8f14d55b56ffdfe9,574db0c2424f8e0ac00a6dbed567acb7c6e8adbc2f2ef67516b88e50d9e4c46c,porsche,911,2026-08-11,,,,Turbo S
09c6832d4e4447c8b3992d7c51adbd8c,630db9bc7d5756c8149d3b13bf4ec24b7d937d3e8c98b8a24f5d8d00e8f0261b,porsche,cayenne,2026-08-11,2009,,,Turbo S
0e118f0e927645a1876a4f213cddb0f0,3d661204e0c38ee5542defab90b1d89e03c30c8302fca2112b1a4a6a49429c31,porsche,911,2026-08-11,2021,,,Targa 4S Heritage Design
0fadf286b5804c03ac2e35d5db6c8a91,3e9e30c807e849adfa856c5831654346f03284e34c762ff2c368b427463799f4,porsche,911,2026-08-11,2014,,,Turbo
122a977cf6be4d639a9e239c6d859c44,c167cfba6b6868bba7947c86db72b091204a51772eec49d5db55c3ff91cd76d9,porsche,boxster,2026-08-11,2010,,,Spyder
14e73d3348d44fabb01ced4aa60c7db6,f5c8d16d2eea36604b465387f025ba652a77d4b2bc45c10f0637b86dd1f0ff6f,porsche,macan,2026-08-11,2020,,,
1503f8d08f154ec7ab52f95a99c55134,4a04f7e4dc19b94a24d9009639313f4c0b46ae2a89b908d2e66f19a7c19de6c5,porsche,911,2026-08-11,2025,,,GT3
1ab438e7fc444fedb6f1ee255f21902a,c9dc4d5b473381caabfa9c2c5751518e7627ce5cd2ae7f933a8033ce4c2fa17b,porsche,911,2026-08-11,2019,,,GT3 RS Weissach Package
1bb367ebaee14829a24e9b5444c15087,5fab6a63c35a3f37240974c89e1076d6406ccfa5cd2e33b329bdae5019973880,porsche,718,2026-08-11,2020,,,Spyder
249b3088ba9449038d89670c9cd8d789,b9a3685f24501acc236187228722b70de5b7808469772557f374babe3a47814c,porsche,911,2026-08-11,2014,,,GT3
259b0294bc254b1f85defaf5ea5bc34c,7566390b480b4cb83d1272c52fa3a42d0ac334a8bbb44657badb1e2dada3297f,porsche,taycan,2026-08-11,,,,
27240ad1a825434f99e980d7c904c3d0,0e1ebec827a3d87d591319fd20a5159e0cd92eb0a7b5e440c031fb672c5a01af,porsche,911,2026-08-11,1992,,,Turbo S 3.6
2826fd94a234422d94c88f2f5ef9fdfd,01a43adbdc3bcca7f100c2021ddba971821063023f8894fab06c50503fbbca5d,porsche,911,2026-08-11,2017,,,Turbo S Exclusive Series
28dbd43350bf462c806d5ba3d608e1cc,4220d2513fbeaebd33930224997324b07ab11c772d4b89292e15449bbec65ad5,porsche,911,2026-08-11,2000,,,Turbo
2b3843db0f784ab0a8702f6361d16d2a,3142705251b00e27dde7b130f6aace44db7134934561ad9e96a5d32013ff8535,porsche,911,2026-08-11,1995,,,GT2
2c4a64ebf4ba4da29b119f6e3ac7b1fa,7d05f5ec7249166423fce4e140ca726e0656e24e22c82e15923a2bbac86473ca,porsche,718,2026-08-11,2024,,,Spyder RS
32b33f05cb4f457a87428757f90298ce,0041066175e6aae68123e43b20f7306940e7f9aeaccadae31088cb60ac44582a,porsche,911,2026-08-11,1994,,,Carrera
357999b7e87642e38062623127a61bb2,77c231f8cdc91abd716cefaa9f4c3e64ef4d59453357065c633860d8324e41ec,porsche,718-cayman,2026-08-11,2020,,,GT4
37406df07eba477e898806606ccfeb5e,8681db0510fde5c2dfa61682cd0f1386b310755931fd8e24069e1c56f7d4d706,porsche,cayman,2026-08-11,,,,S
3d84bed1c5794403a80580eebc2a4c72,84321852beb52a9b3cb28be4263cc788522b78072ac30b4f674f4b27909e32d4,porsche,911,2026-08-11,2018,,,GT2 RS Weissach Package
3f1a399631a84f55b1d1cd04310e361f,e4c7b306ad07e270a4607336a2d79e5fb09691ab2519a484e724a440b0de0510,porsche,911,2026-08-11,1989,,,Carrera 4
41419345868e406eaec8a271e33de3c1,c49633b1117d1f39d90e376869dd5fdbd5a8e9b62492fea9bee7889682654075,porsche,911,2026-08-11,,,,GT2 RS
4167ba8ff6dd49fc8300c48a8fe097a0,1e2f28d155fbd597a756929d41477919e708f86c4b8c2b5fac75f3d2f1bab41b,porsche,911,2026-08-11,2022,,,GT3 Touring
45982328a4bc458199da0c9f95b4f28d,08d86d1bd39fee85b304c1fb021b5d0743fe3547944e9012c40e7c0398d29710,porsche,911,2026-08-11,2016,,,Turbo S
4774f59cbb1146be81cffd795f61a9f6,568b5c0481975d51093d9cd2b354e642e156fc0e2dafae03c92125d210c399a0,porsche,cayenne,2026-08-11,2020,,,Turbo Coupe
4b52cfc4ce32438aa732880fae81c047,d255fa573f65b6111b867dbf1bff182469bea328dbe45d0a638616bb62ead225,porsche,718-boxster,2026-08-11,2017,,,S
4b7c65bfd3bd4eacb14183cfbcb07565,eb67e77cd2ffaa7f70972467310c6be346502db889b5357f2c124e72fc1ac65a,porsche,911,2026-08-11,,,,GT3
4b989f15962e457cbf9f2990528bce52,7e88c2b19dc7df1997ee1e2a7f7c257e7338b4d6fee88e70d8b8a423972f7477,porsche,911,2026-08-11,,,,Carrera 4S
4e1abafe7cf5413587a421377624ba08,1a5411f1123fe563007dfc080173732305fcd06eabaa035b7144abaedad195d0,porsche,taycan,2026-08-11,2025,,,Turbo GT Weissach Package
570249cd14c342ea947b05fee05245d9,571741801c2ebf2cdb7406708959dfda414d04e572addf1ef01dec34acac110b,porsche,944,2026-08-11,1991,,,Turbo
597734ea90bc472fb52d937feed3af14,bb6437ee5af812786fdf3cf99e948cf169ebbe7f5ad875053a06bfa9fc43b363,porsche,911,2026-08-11,,,,
5ab56c0a7666450cabb59d5e44539a12,24bbfc0f208a718bbac94c38fa5ebb925f211ed447a428df5d1ef6409733c18c,porsche,718-boxster,2026-08-11,2019,,,T
5dcc96f1f7fb4ff5a577b5c9f106275d,dccf9fd4cf1a42b088f5e197bc68f26028052d6bf094764e5a4a8ec251a924fc,porsche,930,2026-08-11,,,,Turbo
5fd62615f72a4012a5ebc15cd4c64461,b37b8b049f116ea743e4e92c74bcf80b5ab85bba3934e78cd575a14dbaa66e00,porsche,911,2026-08-11,,,,GT3 RS
5fe43aaf8a2d4277859d79884aa4ad3e,d52514a35bed62a8f894c7fa555ce833c37981d85b39427e8b760f868b55fa50,porsche,panamera,2026-08-11,2019,,,Turbo
626f4a5d85d14480939eb8bb3c217c30,865acd9f51e5ed91e8d20606415e4e47c735a6126e11789b9cbeeca213c69b90,porsche,911,2026-08-11,2019,,,Speedster Heritage Edition
678ed0b096bd4b99839888eef6075666,a1933a451209e7c8579e1d3ac07db28400b0aee442601a87d27ca342f94782b9,porsche,959,2026-08-11,1987,,,
