uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
2e8aca0407ae44d2802bc34761054a69,419d5052be0834984f60a1f99d53e03011ecc97d9de11ed1dea05fb670b214a9,subaru,brz,2026-08-11,,,,
256ca39ab09846b7a24027fd00d94a20,e1ed3b04ccc0ec5b0504fc717ff625d895ae67c1c8a77f47e9382167120e5527,subaru,ascent,2026-08-11,2019,,,Touring
7bccb635920343d9b03823bf09cb0f43,c729df66fa5984dd038e5ba973e298e036d5e48db741020b95e1f9ae7fbddaa5,subaru,brz,2026-08-11,2024,,,tS
065804733fa245c6b1b10ca2de44099d,9b592f2e5dbbe56a4f9d2a4af9ac796daa9cb55e387e0e4b697a89e7ca7756b2,subaru,impreza-wrx,2026-08-11,2022,,,
2fa30ce7756c41b7bbc896aed00a3f0d,590dd514d52a8943878be19b89b082b92fbb647a04c8e55b73f50781a0744a91,subaru,wrx-sti,2026-08-11,2015,,,
47b80a3e11e84794a820862aaaf85e3f,e926aeaf8de82ea30a63fe463872485905e9031f4827da582f35ccac5aa7852e,subaru,brz,2026-08-11,2023,,,Premium
8473f0659a59490888c78a275cfc1631,69b14fc0eb22ce62a89e73c4e3aa7c308956a47de9554ff73c83a8ed2ff46e83,subaru,impreza-wrx-sti,2026-08-11,2018,,,
1f0e3601623345149a945f6de054a4bb,abb5bec140cf49f82fe45938ec2deb486dbb6684a75f7b4e0d363a2f48bc7aa2,subaru,brz,2026-08-11,2020,,,tS
ac37399c27e64c7c940dad5aca0a567c,22c050702bf80e63dba0db84cb0549a9c1a7ef7886ee8e1c52ad8a503bf755f5,subaru,legacy,2026-08-11,2010,,,2.5GT tS
fa2c8e1d265443e982b90f964c2b3e02,296cfe947edc122d0ce5efedb7e9020ca454a4651687c9ba03a98faa18957239,subaru,wrx-wagon,2026-08-11,,,,
ab42313b02f245aaa8dc9090cfd941f5,98211ae61da0cd27e0acc9b95a3f3f00a62033c4c5ee6e5ea264587ccf6b6202,subaru,brz,2026-08-11,2013,,,
457f01e7e8d14b088e3f092c1be9e75c,3f86a604365b7457357dd67fa03c96ea1f1ae7120e849b395787b271239024fa,subaru,impreza-wrx-sti,2026-08-11,,,,Version VI
c0ffde08f5e04cca9dffb449a5eef759,847d2c6d7d2aff0a5553970d1912f92d05c1b452f46beb4ac6375f05bdc2ee28,subaru,legacy-wagon,2026-08-11,,,,
925112ae29514dcf89ccf2fc7020338e,2b6f712c009513360ad334c25d108238304d21235bb2bb4182dca79e7649d3bf,subaru,forester,2026-08-11,2009,,,
d5fb1b03ae724f7ba9dbbbaf0c16cdf8,1e71074fd06679126424e99a4384041c5299febd7b402296966377c265bf6bb5,subaru,impreza-wrx-sti,2026-08-11,2006,,,
20512df95cdf4114aa50b6005b5290a3,c8964b9f08af4abb08c1afb1ddde2fb8df8410d4b348163d5dcf5e32b758d3d7,subaru,impreza-22b-sti,2026-08-11,1998,,,
