uid,licence
2e8aca0407ae44d2802bc34761054a69,CC Attribution
256ca39ab09846b7a24027fd00d94a20,CC Attribution
7bccb635920343d9b03823bf09cb0f43,CC Attribution-NonCommercial-ShareAlike
065804733fa245c6b1b10ca2de44099d,CC Attribution
2fa30ce7756c41b7bbc896aed00a3f0d,Free Standard
47b80a3e11e84794a820862aaaf85e3f,CC Attribution
8473f0659a59490888c78a275cfc1631,CC Attribution-NonCommercial-ShareAlike
1f0e3601623345149a945f6de054a4bb,CC Attribution-NonCommercial-ShareAlike
ac37399c27e64c7c940dad5aca0a567c,CC Attribution
fa2c8e1d265443e982b90f964c2b3e02,CC Attribution
ab42313b02f245aaa8dc9090cfd941f5,CC Attribution
457f01e7e8d14b088e3f092c1be9e75c,CC Attribution
c0ffde08f5e04cca9dffb449a5eef759,CC Attribution
925112ae29514dcf89ccf2fc7020338e,CC Attribution
d5fb1b03ae724f7ba9dbbbaf0c16cdf8,CC Attribution-NonCommercial-ShareAlike
20512df95cdf4114aa50b6005b5290a3,CC Attribution-NonCommercial-ShareAlike
