uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
204283fa663d4ccea7f3bdfd1ba6680e,e779aad74d3f59618e20d8fb458c1ee3ed45464a474a119d545e7bcc70f2c338,toyota,gr-corolla,2026-08-08,2023,,hatchback,
0d83090a0d484d98b6749dbbf9b4a111,473fec4ef65ce6acd25e2455ee7c6d76696502f1c502d5deb51c680a687c4d53,toyota,gr86,2026-08-08,2023,,coupe,
c7aad552ce6f4700b179615b2c9a346b,9ffd4b6f7fc9e42a190de7de616b787e989191fdfddf5076b9d049b873666c11,toyota,auris,2026-08-08,2019,,hatchback,
e10068b2511b4ed7b724a8d87a362727,1d42bc19cd59a8e5dd4866a41c6059de8ab2559730468cfd81ab7e585db1d354,toyota,bz4x,2026-08-08,,,suv,
90e9f77205014ecc8e3e08dd27dc4d52,7cbf9d3f487f9a247ac614973dcff356bb8de5056d0d5fc193efbce47e4e9d85,toyota,prius,2026-08-08,2016,,hatchback,
a9c8b71c5c5d494bb55d79a2e161119b,f127187aa14c38910341d6e91f3d43d8dcf1eed4d7701295246363d87d7cce98,toyota,land-cruiser,2026-08-08,1998,,suv,
6412b1bba68848af88169be2c75e10a6,973345645e707fff9f23749ee552ff5872197fe30c09c0a32b6058677bd86e87,toyota,corolla-cross,2026-08-08,2021,,suv,
f08f43a71bed4fbc8562fdde6214f1c4,630401d3e48e98713f891db1669242ed3fecff56af2bc008cf475cce3f728c18,toyota,iq,2026-08-08,,,hatchback,
9f09704e33af42d29b2230e10506456a,90f7cd2183fb4dec3245a738818418592b340f41083fe635ec860492b79f62d3,toyota,celica,2026-08-08,1981,,coupe,
42470a7ce258421a89c2361225bb89eb,379dd0b382bcc050d047974e9d19636d222cdd47fabfa8f4e3b9239c03c008bc,toyota,prius,2026-08-08,2019,,hatchback,
980a52a5031a4b07a0f206b82ebb1275,ec2988de71894077d19e2d3901f6aa19ce4732afbc8929e9fdf71a877ff65f89,toyota,supra,2026-08-08,,,coupe,
af4fec1626f047339857d98b4f0f7273,a1d8ddcf7fa94030171830e707f16962530ff1432787eadb25da980c12d14848,toyota,celica,2026-08-08,,,coupe,
ec05296ddf2f4c22a570512245d1fba0,808eadc1618b08f79a478560cfbe5a03f1adf066abb924c0ed06bbb185fe0fc5,toyota,gt86,2026-08-08,,,coupe,
950cd22ab63d4723b468f25da0fd5ec0,0fb49461e82a5fa3a640e7d7b314cd9493999f873aa6f158c79b347a2d4fc5fe,toyota,mirai,2026-08-08,,,saloon,
1f66a3fdb7da421cafb089467b5a6140,13cf045fc6278caa6a5881f8e155f87bcee2f05d9c2bbc52885b5f84371331f2,toyota,c-hr,2026-08-08,2022,,suv,
3f82031714bd40a3a3a027e5687604de,13e18226d104d41aaa1867577ad62305718451bf9d3db95de88f151686b50de0,toyota,prius,2026-08-08,2010,,hatchback,
e595afd4ec5745a08f95cc5baeaa5ef0,ebadc8bf02eae8ba459ca47e076df38b3bc154113320712ff5b5b23b7a1cd8a8,toyota,corolla,2026-08-08,2020,,saloon,
ff144d062f244a3ebfae71bc2a41564b,c8b2eb4068887241f0e37c7103cb15343f7a95a6693af9ff8f3fdfcaefe43978,toyota,highlander,2026-08-08,2020,,suv,
710e8b6748f249b2b6349cb555386811,2470a924350816a30b7cca89dd4305fe9058aa3721b00322d25bdc70ba7376c3,toyota,supra,2026-08-08,,,coupe,
196829bf4cbc4b8cb26c50964f35ff27,6693796e7e564edba7504f7177d91d9dd2e439e1df177e4865fe22e84928bc9c,toyota,camry,2026-08-08,1997,,saloon,
78eeb0db0dab4339b546ed504453ed3c,b9f172e1df3f524a313f7eb4b4ba59d593b1b561772f33f752365bc8c553d540,toyota,avensis,2026-08-08,,,saloon,
ad05a156f817451ca214d388e53052fb,af250fe51e04838942bd70e9763b5c3531fb6d8497cfa1c6ceb2a3ba117fe6fe,toyota,avensis,2026-08-08,,,saloon,
e38b2b292a04436a936171a2f5d33af7,598868f1956310ea3c3b559720735a6451265bfe0fab5fbe249e30de38db946b,toyota,corolla,2026-08-08,,,saloon,
d6f1ad4b22214abfaea1e59f98409f57,5adba6250fec7573b010b8af092e4d8ab53faf130737dae498998ec90217e6d2,toyota,supra,2026-08-08,,,coupe,
751c7d18c05946d18ba7953dc046dec6,d6ba9b1bf33d4efdf4fe7d18ddd96be46718a58425543010e4bbe9b477d2d617,toyota,proace-city-verso,2026-08-08,2020,,mpv,
40111978beac4ba7846d94f41805de40,f8ad22a4db4d2a80bdbccd437f2ebceb048857de2e0583e54e5d7a45d58dc75c,toyota,camry,2026-08-08,2007,,saloon,
df56087572a44b0496e39006859ae3b9,f4fdc5f9b97f5ecb810bafa8ce81f15e38f32980b9c41db32903d11334be3337,toyota,hilux,2026-08-08,2005,,pickup,
411da54827634c5abd462ab4e9e0eb34,be741c135753e43819064177ade20479703c06857cccb7d166b28d5b77f6bab9,toyota,rav4,2026-08-08,2021,,suv,
f8a557a46ff34a68893dce0136995408,c91808dd777de96d6c2e9a887b078aef1eeb25450fccf101e4915faf91c26747,toyota,hilux,2026-08-08,1988,,pickup,
4ed6c385052b4d6fb7b2ecee08292d85,1b15b96d1fa5551b6ef6c4c769cc1b23e0a49461af59bd2a57e5106c91696059,toyota,hilux,2026-08-08,1978,,pickup,
0937e2b405964856a1aac96f54861274,a2f37ae317dffb2551da0d2c61118f0567dd4f5594b782b66a9871b89c199c43,toyota,land-cruiser,2026-08-08,2024,,suv,
