uid,licence
204283fa663d4ccea7f3bdfd1ba6680e,CC Attribution
0d83090a0d484d98b6749dbbf9b4a111,CC Attribution
c7aad552ce6f4700b179615b2c9a346b,CC Attribution
e10068b2511b4ed7b724a8d87a362727,Free Standard
90e9f77205014ecc8e3e08dd27dc4d52,CC Attribution
a9c8b71c5c5d494bb55d79a2e161119b,CC Attribution
6412b1bba68848af88169be2c75e10a6,CC Attribution-NonCommercial-ShareAlike
f08f43a71bed4fbc8562fdde6214f1c4,CC Attribution
9f09704e33af42d29b2230e10506456a,CC Attribution
42470a7ce258421a89c2361225bb89eb,CC Attribution
980a52a5031a4b07a0f206b82ebb1275,CC Attribution
af4fec1626f047339857d98b4f0f7273,CC Attribution
ec05296ddf2f4c22a570512245d1fba0,CC Attribution
950cd22ab63d4723b468f25da0fd5ec0,CC Attribution
1f66a3fdb7da421cafb089467b5a6140,CC Attribution
3f82031714bd40a3a3a027e5687604de,CC Attribution
e595afd4ec5745a08f95cc5baeaa5ef0,CC Attribution
ff144d062f244a3ebfae71bc2a41564b,CC Attribution
710e8b6748f249b2b6349cb555386811,CC Attribution
196829bf4cbc4b8cb26c50964f35ff27,CC Attribution
78eeb0db0dab4339b546ed504453ed3c,CC Attribution
ad05a156f817451ca214d388e53052fb,CC Attribution
e38b2b292a04436a936171a2f5d33af7,CC Attribution
d6f1ad4b22214abfaea1e59f98409f57,CC Attribution
751c7d18c05946d18ba7953dc046dec6,CC Attribution
40111978beac4ba7846d94f41805de40,CC Attribution
df56087572a44b0496e39006859ae3b9,CC Attribution-NonCommercial-ShareAlike
411da54827634c5abd462ab4e9e0eb34,CC Attribution-NonCommercial-ShareAlike
f8a557a46ff34a68893dce0136995408,CC Attribution
4ed6c385052b4d6fb7b2ecee08292d85,CC Attribution
0937e2b405964856a1aac96f54861274,CC Attribution-NonCommercial-ShareAlike
