uid,glb_sha256,make,model,reviewed_at,year_start,year_end,body_style,trim
a5df2bfa33194fffb7eb59c73bdbecd8,bb5ede918ff9b0bfa050ad8e60cd49e474df5265b099271e68d58bf6bdf6871c,opel,Frontera,2026-08-16,1992,,,
139ac39c9afe47e19347ea9a7dca3ef0,74421396310618837fe4a9fd433fde0db9fc63288629b39f31da4f938e2907fc,opel,Tigra,2026-08-16,,,,
d599df54a13841f2a45cda53f19c8197,8a81eb6ef4962c7d89609036256471a40be11d9ccaa8a3f23b42029c52b1ca8a,opel,Senator,2026-08-16,1987,,,
1a9f9be6d17b42ad8c1c0e35d5021312,f0f14a2b3c4651fe9745c16394bf24a226ed630d2fcb1ab785900d97c37beddf,opel,Ampera,2026-08-16,2011,,,
9ba0595e1533473c8e977926fbb3daff,5a0b3d34a9eb8c1170aab304889d6f55c987ad8a64931d7dfff5973af8d0bcc9,opel,Ascona,2026-08-16,1970,,,
a35ea18c5dd14753bc67429b2ed8c09c,f3ed76586c7b50e806e03cbfbdaa219dad64008cb797872cc18b0df2ee81cd18,opel,Campo,2026-08-16,1997,,,
b3313f3426b24a4dbe135a57f6ec2c7d,3e717c4a70ba13e1dd7607aa94111fb7a66245df6dd83165b94babf7f86bf6f5,opel,Kapitan,2026-08-16,1956,,,
9517720f580e454cbf838beef310536b,84b26d060244c2c090abeca8a6268ef0f736cf3ef815203a510ed4a122aa48b3,opel,Corsa,2026-08-16,2011,,,
87f9b94946b0445597b630df4ffd8e81,a53aca7f92bccb329781d3cdb0f6dbb653abb8474dbb5051eee30dc18025fe0f,opel,Omega,2026-08-16,1987,,sedan,
61baa03b289242589e160e33b51343cd,e03ceb782472f92d317a1876404ef47da8850a62c115f264b0e1e1ad0544e2df,opel,Kadett,2026-08-16,1975,,,
02a1c2b4ecdc4bbf9ca98f9ac0c212ae,0eff5f92b20cbed107b1772196c4761c17ebe278c7108aee46daf705581c45d9,opel,Tigra,2026-08-16,,,,
bbdcf8f1a9424f19bb8a5fbd8b750792,29c1b6258543a243a4b182ba9b3415d9a2bbb52a6fdfc37d5eb46a53f44b2559,opel,Rekord,2026-08-16,1963,,,
154f19805fbb4957b6aae8e3b23f9471,068ae123eb4ad41c4ee5115ac98bd0f9fd0f82846ce4e7547c99944415e74fb8,opel,Calibra,2026-08-16,1990,,,
c31f5eca5aa84faea700a58880afafbb,4f075c6279a7907bc3e9b9e7d727b51e131d25c17e05bdb4e84b3b1702419caa,opel,Rekord,2026-08-16,1972,,,
6b744222151d42f4a8e327d93aa3cce9,8ff65cb7c09cc2b74366d24cb6be5d72453db5c76c688e7947ee925ad061db84,opel,Olympia Rekord,2026-08-16,1956,,,
f9d48b038ee440c2abfcff2501b25d6e,79e0ea711c2c85ce5df8ad5c2e72da0c4c11166ce864b62a730612db6bf5384c,opel,Olympia,2026-08-16,1938,,,
40e57abf5e164ef6a5e5f1734417a219,634e225d6d5850ae79a23562c4e7891c59938df474f5b5d2d4ee7a4d61278cf5,opel,Omega,2026-08-16,1999,,,
707a2165d5d04310afeb4c88399a8b41,6475f97528085bd1718b5eb7b86829d0c7780a548cd1ccfc8119e2206fddf3ad,opel,Rekord,2026-08-16,1960,,,
0c7a50857f8b4302b290a0654f8b2bc7,f715dd325c254caad84cdf6074120c86511b8076433ebc21e8c9fdd53d04273c,opel,Astra,2026-08-16,,,sedan,
cd72649048d84df39267083bb83dbda4,55262fe4647affbcc30ff2d2ba27be8bc78263d0d69d13dfc9e4b12cf3e4b70f,opel,GT,2026-08-16,2008,,,
d6bf2c81f0ac4aca9baa5bfc45a52636,c4bf3a5152971a3dcb467289efc5b355e1eee11dcc31719c97a930f33912e605,opel,Speedster,2026-08-16,,,,
04d9c63c3b364688b192077fc23d8a2c,8051ac087c9cbaf8c52cb1fa11bc8c5f84b61c8b2eecd93c8e07a01dab4cf9ee,opel,Zafira,2026-08-16,2002,,,
