uid,licence
a5df2bfa33194fffb7eb59c73bdbecd8,CC Attribution
139ac39c9afe47e19347ea9a7dca3ef0,CC Attribution
d599df54a13841f2a45cda53f19c8197,CC Attribution
1a9f9be6d17b42ad8c1c0e35d5021312,CC Attribution
9ba0595e1533473c8e977926fbb3daff,CC Attribution
a35ea18c5dd14753bc67429b2ed8c09c,CC Attribution
b3313f3426b24a4dbe135a57f6ec2c7d,CC Attribution
9517720f580e454cbf838beef310536b,CC Attribution
87f9b94946b0445597b630df4ffd8e81,CC Attribution
61baa03b289242589e160e33b51343cd,CC Attribution
02a1c2b4ecdc4bbf9ca98f9ac0c212ae,CC Attribution
bbdcf8f1a9424f19bb8a5fbd8b750792,CC Attribution
154f19805fbb4957b6aae8e3b23f9471,CC Attribution
c31f5eca5aa84faea700a58880afafbb,CC Attribution
6b744222151d42f4a8e327d93aa3cce9,CC Attribution
f9d48b038ee440c2abfcff2501b25d6e,CC Attribution
40e57abf5e164ef6a5e5f1734417a219,CC Attribution
707a2165d5d04310afeb4c88399a8b41,CC Attribution
0c7a50857f8b4302b290a0654f8b2bc7,Free Standard
cd72649048d84df39267083bb83dbda4,CC Attribution-NonCommercial
d6bf2c81f0ac4aca9baa5bfc45a52636,CC Attribution
04d9c63c3b364688b192077fc23d8a2c,CC Attribution
